Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
6055,Environmental Engineering,ENVIRONMENTAL LAW,9hrs 17min,Introduction | Environmental Law,https://www.youtube.com/watch?v=uXxlImWRP4M
6056,Environmental Engineering,ENVIRONMENTAL LAW,,Environment Protection Act | Environmental Law,https://www.youtube.com/watch?v=eJ9o00TNZfM
6057,Environmental Engineering,ENVIRONMENTAL LAW,,Powers of Central Government under Environment Protection Act | Environmental Law,https://www.youtube.com/watch?v=uJQOsuluu7E
6058,Environmental Engineering,ENVIRONMENTAL LAW,,Hazardous Substances | Environmental Law,https://www.youtube.com/watch?v=cmeEf2Rd21A
6059,Environmental Engineering,ENVIRONMENTAL LAW,,Constitution & Environmental Protection | Environmental Law,https://www.youtube.com/watch?v=ahfPJdUG4h8
6060,Environmental Engineering,ENVIRONMENTAL LAW,,PIL & Environmental Protection | Environmental Law,https://www.youtube.com/watch?v=aMsv47gkVPQ
6061,Environmental Engineering,ENVIRONMENTAL LAW,,Water (Prevention & Control of Pollution) Act | Environmental Law,https://www.youtube.com/watch?v=BBBnZYQtGao
6062,Environmental Engineering,ENVIRONMENTAL LAW,,Central Pollution Control Board,https://www.youtube.com/watch?v=TNUhagcNuoM
6063,Environmental Engineering,ENVIRONMENTAL LAW,,State Pollution Control Board | Environmental Law,https://www.youtube.com/watch?v=h7t5HvgeLDg
6064,Environmental Engineering,ENVIRONMENTAL LAW,,"Members, Terms of Service, Disqualification, Govt. Supersede Board",https://www.youtube.com/watch?v=YdgxstVYra8
6065,Environmental Engineering,ENVIRONMENTAL LAW,,Air (Prevention & Contol of Pollution) Act | Environmental Law,https://www.youtube.com/watch?v=T18E4F-TF18
6066,Environmental Engineering,ENVIRONMENTAL LAW,,Noise Pollution | Environmental Law,https://www.youtube.com/watch?v=hV-TRNZVTh0
6067,Environmental Engineering,ENVIRONMENTAL LAW,,Radioactive Pollution | Environmental Law,https://www.youtube.com/watch?v=ekZ05NSiEfQ
6068,Environmental Engineering,ENVIRONMENTAL LAW,,Indian Forest Act | Environmental Law,https://www.youtube.com/watch?v=CEaZjGCNHjM
6069,Environmental Engineering,ENVIRONMENTAL LAW,,"Reserved Forest, Protected Forest | Environmental Law",https://www.youtube.com/watch?v=CyVfTprsB-M
6070,Environmental Engineering,ENVIRONMENTAL LAW,,Wildlife Protection Act | Environmental Law,https://www.youtube.com/watch?v=RwxoVysEYP0
6071,Environmental Engineering,ENVIRONMENTAL LAW,,Wildlife Advisory Board | Environmental Law,https://www.youtube.com/watch?v=jdWyAAEmj00
