Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
9651,Finance,Portfolio Management CFA,12hrs 0min,Portfolio Approach to Investing - Portfolio Management,https://www.youtube.com/watch?v=uLIzhtBeDYc
9652,Finance,Portfolio Management CFA,,Steps in Portfolio Management Process - Portfolio Management,https://www.youtube.com/watch?v=eX2I7tFra0U
9653,Finance,Portfolio Management CFA,,Types of Investors and Their Characteristics - Portfolio Management,https://www.youtube.com/watch?v=_6lYkyRjzS0
9654,Finance,Portfolio Management CFA,,Defined Benefit vs Defined Contribution Pension Plan - Portfolio Management,https://www.youtube.com/watch?v=pjTQIuwNIH0
9655,Finance,Portfolio Management CFA,,Asset Management Industry - Portfolio Management,https://www.youtube.com/watch?v=FqHvqXogaas
9656,Finance,Portfolio Management CFA,,Introduction to Mutual Funds - Portfolio Management,https://www.youtube.com/watch?v=BqQnX3D9aeg
9657,Finance,Portfolio Management CFA,,Other Pooled Investment Products - Portfolio Management,https://www.youtube.com/watch?v=JveY8o4L6d0
9658,Finance,Portfolio Management CFA,,Measures of Returns - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=woLfIbVlazc
9659,Finance,Portfolio Management CFA,,Money Weighted vs Time Weighted Rates of Return - Portfolio Risk and Return : Part One,https://www.youtube.com/watch?v=HeyGZwxRwSI
9660,Finance,Portfolio Management CFA,,Characteristics of Major Asset Classes - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=hwfIOHRFBSM
9661,Finance,Portfolio Management CFA,,"Mean, Variance, Covariance and Correlation of Asset Returns - Portfolio Risk and Return : Part One",https://www.youtube.com/watch?v=8mDY-OwoASc
9662,Finance,Portfolio Management CFA,,Introduction to Risk Aversion - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=6gKlKXYMtTI
9663,Finance,Portfolio Management CFA,,Portfolio Standard Deviation or Portfolio Risk - Portfolio Risk and Return : Part One,https://www.youtube.com/watch?v=ftpP_X3tIho
9664,Finance,Portfolio Management CFA,,Portfolios Risk of Investing in Less Than Perfectly Correlated Assets - Portfolio Management,https://www.youtube.com/watch?v=aNw6zOuBNss
9665,Finance,Portfolio Management CFA,,Efficient Frontier - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=8Zg7Xa27kL0
9666,Finance,Portfolio Management CFA,,Investors utility and Capital Allocation Line (CAL) - Portfolio Risk and Return : Part One,https://www.youtube.com/watch?v=u8PstcVkJKQ
9667,Finance,Portfolio Management CFA,,Investment Policy Statement (IPS) - Basics of Portfolio Planning and Construction,https://www.youtube.com/watch?v=3c5a_TIcHu4
9668,Finance,Portfolio Management CFA,,Risk and Return Objectives - Basics of Portfolio Planning and Construction - Portfolio Management,https://www.youtube.com/watch?v=eV_6FvkAAaY
9669,Finance,Portfolio Management CFA,,Risk Tolerance (Ability and Willingness) - Basics of Portfolio Planning and Construction,https://www.youtube.com/watch?v=5JsV05ZmRTs
9670,Finance,Portfolio Management CFA,,Investment Constraints - Basics of Portfolio Planning and Construction - Portfolio Management,https://www.youtube.com/watch?v=-delhfr3MUc
9671,Finance,Portfolio Management CFA,,Strategic Asset Allocation (SAA) - Basics of Portfolio Planning and Construction,https://www.youtube.com/watch?v=ZcctUcRBdf4
9672,Finance,Portfolio Management CFA,,Principles of Portfolio Construction and Role of Asset Allocation - Portfolio Management,https://www.youtube.com/watch?v=Ftrg3JEe9Ac
9673,Finance,Portfolio Management CFA,,"Environmental, Social and Governance ESG Considerations - Portfolio Management",https://www.youtube.com/watch?v=rnacuaC4gto
9674,Finance,Portfolio Management CFA,,Combination of Risk Free Asset and A Portfolio of Risky Assets - Portfolio Management,https://www.youtube.com/watch?v=KBmwRyKDKVU
9675,Finance,Portfolio Management CFA,,Capital Allocation Line (CAL) and Capital Market Line (CML) - Portfolio Risk and Return : Part Two,https://www.youtube.com/watch?v=d279sWNFIew
9676,Finance,Portfolio Management CFA,,Systematic and Non Systematic Risk - Portfolio Risk and Return : Part Two - Portfolio Management,https://www.youtube.com/watch?v=6JqMZPer7dk
9677,Finance,Portfolio Management CFA,,Return Generating Models - Portfolio Risk and Return : Part Two - Portfolio Management,https://www.youtube.com/watch?v=_tAi8Ecq_WU
9678,Finance,Portfolio Management CFA,,Calculation and Interpretation of BETA - Portfolio Risk and Return : Part Two - Portfolio Management,https://www.youtube.com/watch?v=m5wlGR0CTRo
9679,Finance,Portfolio Management CFA,,Capital Asset Pricing Model (CAPM) and Securities Market Line (SML) - Portfolio Management,https://www.youtube.com/watch?v=dhG-jSmu28I
9680,Finance,Portfolio Management CFA,,"Sharpe ratio, Treynor Ratio, M Squared and Jensens Alpha - Portfolio Risk and Return : Part Two",https://www.youtube.com/watch?v=Ii5ybIadgbk
9681,Finance,Portfolio Management CFA,,Introduction to Risk Management - Portfolio Management,https://www.youtube.com/watch?v=JQnnBOEX444
9682,Finance,Portfolio Management CFA,,Risk Governance - Introduction to Risk Management - Portfolio Management,https://www.youtube.com/watch?v=42PxVrBV2bM
9683,Finance,Portfolio Management CFA,,Risk Tolerance (Ability and Willingness) - Introduction to Risk Management - Portfolio Management,https://www.youtube.com/watch?v=HDFOZiUGfgs
9684,Finance,Portfolio Management CFA,,Risk Budgeting - Introduction to Risk Management - Portfolio Management,https://www.youtube.com/watch?v=5m2g2aYxPqA
9685,Finance,Portfolio Management CFA,,Financial vs Non Financial Sources of Risk - Introduction to Risk Management - Portfolio Management,https://www.youtube.com/watch?v=-5qeb1PgvfU
9686,Finance,Portfolio Management CFA,,Measuring Risk Exposures - Introduction to Risk Management - Portfolio Management,https://www.youtube.com/watch?v=KEmBnWyHO2M
9687,Finance,Portfolio Management CFA,,Modifying Risk Exposures - Introduction to Risk Management - Portfolio Management,https://www.youtube.com/watch?v=vNPMiyYa8SU
9688,Finance,Portfolio Management CFA,,Introduction to Fintech in Investment Management - Portfolio Management,https://www.youtube.com/watch?v=VTQnWOeBloU
9689,Finance,Portfolio Management CFA,,"Big Data, Artificial Intelligence (AI) and Machine Learning - Fintech in Investment Management",https://www.youtube.com/watch?v=uxgiR_1Qhlk
9690,Finance,Portfolio Management CFA,,Fintech Applications to Investment Management - Fintech in Investment Management,https://www.youtube.com/watch?v=xln3Oqy8g5U
9691,Finance,Portfolio Management CFA,,Financial Applications of Distributed Ledger Technology - Fintech in Investment Management,https://www.youtube.com/watch?v=cfoutgP8RBU
9692,Finance,Portfolio Management CFA,,"Principles, Applications and Assumption of Technical Analysis - Corporate Finance",https://www.youtube.com/watch?v=zsRYCIzCQzs
9693,Finance,Portfolio Management CFA,,"Trend, Support, Resistance and Change in Polarity - Technical Analysis of Corporate Finance",https://www.youtube.com/watch?v=sfUOVTquHYo
