Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
3481,Finance,Venture Capital Playlist,23hrs 14min,Startup Funding Explained: Everything You Need to Know,https://www.youtube.com/watch?v=677ZtSMr4-4
3482,Finance,Venture Capital Playlist,,What is Private Equity?,https://www.youtube.com/watch?v=qM1mRPuqymg
3483,Finance,Venture Capital Playlist,,Who Invests in Private Equity?,https://www.youtube.com/watch?v=pEqPk0sySOs
3484,Finance,Venture Capital Playlist,,How do Limited Partnership Agreements Work?,https://www.youtube.com/watch?v=wnECpCzYY74
3485,Finance,Venture Capital Playlist,,How do Private Equity Firms and its partners make money?,https://www.youtube.com/watch?v=yFVdsoUNhTI
3486,Finance,Venture Capital Playlist,,How do Private Equity Firms find deals?,https://www.youtube.com/watch?v=iTj-KQOCZhY
3487,Finance,Venture Capital Playlist,,How do Private Equity Firms perform Due Diligence?,https://www.youtube.com/watch?v=tjc0QE5A2VE
3488,Finance,Venture Capital Playlist,,"If You Know Nothing About Venture Capital, Watch This First | Forbes",https://www.youtube.com/watch?v=a4aUX5u90oA
3489,Finance,Venture Capital Playlist,,AML & KYC Interview Questions & Answers! (Know Your Customer and Anti-Money Laundering Interviews!),https://www.youtube.com/watch?v=-Zo9LcBaWOA
3490,Finance,Venture Capital Playlist,,Anti Money Laundering - Due diligence,https://www.youtube.com/watch?v=QGJzm5Lebxg
3491,Finance,Venture Capital Playlist,,Client Due Diligence/AML/KYC,https://www.youtube.com/watch?v=10d3OUfmQ0Q
