Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10360,Graphic Design,Branding & Marketing,9hrs 13min,What Is Branding? 4 Minute Crash Course.,https://www.youtube.com/watch?v=sO4te2QNsHY
10361,Graphic Design,Branding & Marketing,,IDENTITY DESIGN: BRANDING,https://www.youtube.com/watch?v=pR7tMnKghDs
10362,Graphic Design,Branding & Marketing,,What is Branding? A deep dive with Marty Neumeier,https://www.youtube.com/watch?v=dpZfNNYUZEc
10363,Graphic Design,Branding & Marketing,,How To Build A Successful Personal Brand in 2024 (Full Masterclass),https://www.youtube.com/watch?v=1kUCm1JPzxg
10364,Graphic Design,Branding & Marketing,,How To Design Brand Identity Stylescapes,https://www.youtube.com/watch?v=lGmPCutgI2o
10365,Graphic Design,Branding & Marketing,,Branding: Identity Design w/ Yo Santosa,https://www.youtube.com/watch?v=mnSgHLBpOpw
10366,Graphic Design,Branding & Marketing,,🔴 How To Become A Brand Strategist,https://www.youtube.com/watch?v=jo5THshRG60
10367,Graphic Design,Branding & Marketing,,What Is The Difference Between Branding & Marketing? What's more important?,https://www.youtube.com/watch?v=yK7Rk7Oe588
10368,Graphic Design,Branding & Marketing,,Brand Identity Design Presentations and Critique - Young Guns EP 10,https://www.youtube.com/watch?v=P5cqMtqTNog
10369,Graphic Design,Branding & Marketing,,How To Get Attention In The Market 2022,https://www.youtube.com/watch?v=0nVNU5GFhm8
10370,Graphic Design,Branding & Marketing,,The Secret to Building a Personal Brand—Reduce Your Market Size & Create Clear Messaging,https://www.youtube.com/watch?v=81bLdOJwteA
10371,Graphic Design,Branding & Marketing,,Personal Branding Masterclass w/ Daniel Priestley,https://www.youtube.com/watch?v=zafDOeWNAxg
10372,Graphic Design,Branding & Marketing,,How to Position a Brand,https://www.youtube.com/watch?v=KSGzJiK9Uz8
10373,Graphic Design,Branding & Marketing,,🔴 Why Redesign the Dropbox Logo? Design Master Brian Collins Explains,https://www.youtube.com/watch?v=EGZG-tGlFEw
