Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10152,Graphic Design,Digital art course,33hrs 4min,5 Free (and Really Good) Drawing & Painting Apps,https://www.youtube.com/watch?v=g43CV4X3rmk
10153,Graphic Design,Digital art course,,Digital Art for Beginners (2020 Edition),https://www.youtube.com/watch?v=0RmGV5wALG0
10154,Graphic Design,Digital art course,,How to Make DIGITAL ART on a Computer (For Beginners),https://www.youtube.com/watch?v=hnZfnoVFpK8
10155,Graphic Design,Digital art course,,【 PART 1 】★ A Beginner's Guide to Become a Digital Artist,https://www.youtube.com/watch?v=5pmIYH1ugtk
10156,Graphic Design,Digital art course,,12 x DIGITAL DRAWING exercise | Get better at digital drawing,https://www.youtube.com/watch?v=35rju_APLqQ
10157,Graphic Design,Digital art course,,Clean Line Art!  Digital Inking Tips,https://www.youtube.com/watch?v=NBE-RTFkXDk
10158,Graphic Design,Digital art course,,【10 Digital Art Tips】 For Beginners,https://www.youtube.com/watch?v=sbcp_eKYoSM
10159,Graphic Design,Digital art course,,Photoshop Digital Painting Tutorial,https://www.youtube.com/watch?v=LU7cL7KySSE
10160,Graphic Design,Digital art course,,Digital Painting 101 (1 of 5),https://www.youtube.com/watch?v=mFRHTs8-KVw
10161,Graphic Design,Digital art course,,Digital Painting 101 (2 of 5),https://www.youtube.com/watch?v=-BrsZDjJZGE
10162,Graphic Design,Digital art course,,Digital Painting 101 (3 of 5),https://www.youtube.com/watch?v=UeIHDOdqnls
10163,Graphic Design,Digital art course,,Digital Painting 101 (4 of 5),https://www.youtube.com/watch?v=qjrdMB374Uw
10164,Graphic Design,Digital art course,,Digital Painting - Blending Your Edges Pt.1,https://www.youtube.com/watch?v=EfQNadGEPBU
10165,Graphic Design,Digital art course,,How to Draw KIRBY - Easy Beginner's Digital Art Tutorial,https://www.youtube.com/watch?v=5WmCK6gdeEE
10166,Graphic Design,Digital art course,,"A Simple, Straightforward Guide to Digital Painting! - Photoshop Tutorial",https://www.youtube.com/watch?v=4sJ1D1mL3uY
10167,Graphic Design,Digital art course,,How to Paint in Photoshop - Best Digital Painting Workflows,https://www.youtube.com/watch?v=13CUb2deCmM
10168,Graphic Design,Digital art course,,Flat Landscape Photoshop Tutorial for Beginners,https://www.youtube.com/watch?v=Nl-rEEA9WQw
10169,Graphic Design,Digital art course,,How to EASILY Draw 2D Landscapes in Photoshop ep. 01,https://www.youtube.com/watch?v=LBczOO5hOKc
10170,Graphic Design,Digital art course,,Flat Mountain Landscape Photoshop Tutorial,https://www.youtube.com/watch?v=l40JmD3ogSA
10171,Graphic Design,Digital art course,,Photoshop Tutorial | Flat Mountain Landscape,https://www.youtube.com/watch?v=TwmJ9sJaiEg
10172,Graphic Design,Digital art course,,How to draw flat landscape in Photoshop,https://www.youtube.com/watch?v=8z1l-693Zi4
10173,Graphic Design,Digital art course,,City Landscape at Night | How to LEARN DIGITAL ART | Drawing Tutorial,https://www.youtube.com/watch?v=Xh2Fds0HXZU
10174,Graphic Design,Digital art course,,"Dan's illustration tutorial #02 Minimal, fast and ambient",https://www.youtube.com/watch?v=P_2J2ap1AXg
10175,Graphic Design,Digital art course,,Beginner's Digital Art Tutorial 01 - THE SKETCH,https://www.youtube.com/watch?v=aU2bIy08D_g
10176,Graphic Design,Digital art course,,"4. Cleaning Up The Lineart | How To Draw, For Dummies",https://www.youtube.com/watch?v=UGhy-AN8mJ8
10177,Graphic Design,Digital art course,,"5. Adding Color | How To Draw, For Dummies",https://www.youtube.com/watch?v=9iuuV8OZ9B8
10178,Graphic Design,Digital art course,,"7. Final Touches | How To Draw, For Dummies",https://www.youtube.com/watch?v=tpY06g1sIuw
10179,Graphic Design,Digital art course,,"6. The Freakin' Background | How To Draw, For Dummies",https://www.youtube.com/watch?v=QHPgpCImh6o
10180,Graphic Design,Digital art course,,【 PART 2 】★ A Beginner's Guide to Become a Digital Artist,https://www.youtube.com/watch?v=Xlg7FdbB-P8
10181,Graphic Design,Digital art course,,Basic Lessons on DIGITAL PAINTING in Photoshop - ( Narrated ),https://www.youtube.com/watch?v=xLzCT-1t5zI
10182,Graphic Design,Digital art course,,Tutorial Photoshop : Lesson 1 Opacity and Flow -  Digital ART,https://www.youtube.com/watch?v=HcVBkgfdrkA
10183,Graphic Design,Digital art course,,Tutorial Photoshop : Lesson 2 Layers -  Digital ART,https://www.youtube.com/watch?v=rvlFayriyHU
10184,Graphic Design,Digital art course,,[TUTORIAL] Advanced Shading Elements,https://www.youtube.com/watch?v=K7DseLvcpyY
10185,Graphic Design,Digital art course,,5 TIPS ON BLENDING DIGITAL PAINTINGS,https://www.youtube.com/watch?v=Cb4Ks6t1YMs
