Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
11011,Graphic Design,Interaction Design in Digital Games Course,39hrs 9min,Lecture 1: History to Interaction Design in Games,https://www.youtube.com/watch?v=NueA_uIh7cU
11012,Graphic Design,Interaction Design in Digital Games Course,,Lecture 2: Interaction Design Basics,https://www.youtube.com/watch?v=asSEpdSmdoA
11013,Graphic Design,Interaction Design in Digital Games Course,,Lecture 3: Retention and Onboarding,https://www.youtube.com/watch?v=XGPUcIr4jfk
11014,Graphic Design,Interaction Design in Digital Games Course,,Lecture 4: Feedback Design,https://www.youtube.com/watch?v=aS1lvsE9utc
11015,Graphic Design,Interaction Design in Digital Games Course,,Lecture 5: Control Design,https://www.youtube.com/watch?v=DhNcJ0Q32uA
11016,Graphic Design,Interaction Design in Digital Games Course,,Lecture 6: Narrative Design,https://www.youtube.com/watch?v=SXtpRITwjao
11017,Graphic Design,Interaction Design in Digital Games Course,,Lecture 7: Virtual Reality,https://www.youtube.com/watch?v=CMVWKgpE7bY
11018,Graphic Design,Interaction Design in Digital Games Course,,Lecture 8: Streaming,https://www.youtube.com/watch?v=3MpWq8ozvVs
11019,Graphic Design,Interaction Design in Digital Games Course,,Lecture 9: Artificial Intelligence in Games,https://www.youtube.com/watch?v=U4gwPU4cbCI
11020,Graphic Design,Interaction Design in Digital Games Course,,Lecture 10: The Game Dev Process,https://www.youtube.com/watch?v=bJ98KQukce8
11021,Graphic Design,Interaction Design in Digital Games Course,,Lecture 11: Game Testing,https://www.youtube.com/watch?v=CDXPXifv5Ac
11022,Graphic Design,Interaction Design in Digital Games Course,,Lecture 12: What Comes Next in Game Interaction Design?,https://www.youtube.com/watch?v=Pm0JxtsggWM
