Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10441,Graphic Design,User Interface Design,7hrs 1min,User Interface Design,https://www.youtube.com/watch?v=jLQauZP2e_4
10442,Graphic Design,User Interface Design,,Introduction,https://www.youtube.com/watch?v=TEd3wuw_xNw
10443,Graphic Design,User Interface Design,,User Interface Designer,https://www.youtube.com/watch?v=aaGPJzO9FIk
10444,Graphic Design,User Interface Design,,Design methods-I,https://www.youtube.com/watch?v=RDX2ybDDHM8
10445,Graphic Design,User Interface Design,,Design Methods -II,https://www.youtube.com/watch?v=V5IgT_0rJzE
10446,Graphic Design,User Interface Design,,Human Factor in Interaction Design,https://www.youtube.com/watch?v=Zg7o-uTYpy8
10447,Graphic Design,User Interface Design,,User Research- I,https://www.youtube.com/watch?v=-wzNTPXVIyM
10448,Graphic Design,User Interface Design,,User Research - II,https://www.youtube.com/watch?v=XT152i5asdQ
10449,Graphic Design,User Interface Design,,Low Fidelity Design - I,https://www.youtube.com/watch?v=K-DRTBMnzm8
10450,Graphic Design,User Interface Design,,Low Fidelity Design- II,https://www.youtube.com/watch?v=7pLuoIgZ3UA
10451,Graphic Design,User Interface Design,,High Fidelity Design,https://www.youtube.com/watch?v=KCYLE78w074
10452,Graphic Design,User Interface Design,,Visual Cognition,https://www.youtube.com/watch?v=lqoTyQ2Mrxs
10453,Graphic Design,User Interface Design,,Contemporary Visual Language in Design - I,https://www.youtube.com/watch?v=h2Pkq-w4mgw
10454,Graphic Design,User Interface Design,,Contemporary Visual Language in Design - II,https://www.youtube.com/watch?v=TdekOPUp96A
10455,Graphic Design,User Interface Design,,Usage of Typography in User Interface Design - I,https://www.youtube.com/watch?v=6RAn2LWS654
10456,Graphic Design,User Interface Design,,Usage of Typography in User Interface Design - II,https://www.youtube.com/watch?v=qGATqzMK3YE
10457,Graphic Design,User Interface Design,,Design Semiotics and Visual Perception,https://www.youtube.com/watch?v=_tK6JS57MA4
10458,Graphic Design,User Interface Design,,Visual Communication Design,https://www.youtube.com/watch?v=Y9ixRTTx5iU
10459,Graphic Design,User Interface Design,,User Testing - I,https://www.youtube.com/watch?v=Jsea9xTM6hQ
10460,Graphic Design,User Interface Design,,User Testing - II,https://www.youtube.com/watch?v=lf3mkGdrp7s
10461,Graphic Design,User Interface Design,,Contemporary Interface Design Technology,https://www.youtube.com/watch?v=XrpAfaaE_y8
