Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
8532,Healthcare Management,Healthcare Marketing,5hrs 17min,Hospital Marketing - Evidenced Based Marketing,https://www.youtube.com/watch?v=6CPLmsMCSBs
8533,Healthcare Management,Healthcare Marketing,,HOW TO INCREASE PATIENTS IN YOUR CLINIC 🇮🇳👍👍TWO RULES IMPORTANT THAN MARKETING STRATEGIES,https://www.youtube.com/watch?v=UY4OXgfwglo
8534,Healthcare Management,Healthcare Marketing,,5 reasons why Hospital Marketing is essential?,https://www.youtube.com/watch?v=Dvf3ohjuSQE
8535,Healthcare Management,Healthcare Marketing,,Hospital Marketing: Part 1,https://www.youtube.com/watch?v=dUrr87OxZ78
8536,Healthcare Management,Healthcare Marketing,,4 Proven Medical Marketing Strategies for Medical Professionals,https://www.youtube.com/watch?v=R-8mMW0MpSA
8537,Healthcare Management,Healthcare Marketing,,सही मार्केटींग कैसे करें?-Marketing success advice & tips in Hindi by Sanjay Shah,https://www.youtube.com/watch?v=euyJ22khwKg
8538,Healthcare Management,Healthcare Marketing,,Medical Marketing For Doctors & Medical Clinics,https://www.youtube.com/watch?v=mA1HejGn7mI
8539,Healthcare Management,Healthcare Marketing,,"Startup Idea | Setting up a Hospital | By COO Galaxy Hospital, Varanasi",https://www.youtube.com/watch?v=NVDf4StTVpI
8540,Healthcare Management,Healthcare Marketing,,Sales Training Video - हर घर का दरवाज़ा ना खटखटाओ । How To Sell | Sales & Marketing Tips in Hindi,https://www.youtube.com/watch?v=vWrAFyVjl7c
8541,Healthcare Management,Healthcare Marketing,,Healthcare Marketing Lecture by Patrick Goodness; CEO of The Goodness Company,https://www.youtube.com/watch?v=sPTNWWXQEFI
8542,Healthcare Management,Healthcare Marketing,,Healthcare Marketing Solutions  - 7 Sure Fire Ways To Attract More Patient Referrals,https://www.youtube.com/watch?v=qPxjArN1Li8
8543,Healthcare Management,Healthcare Marketing,,What healthcare will look like in 2020 | Stephen Klasko | TEDxPhiladelphia,https://www.youtube.com/watch?v=esugL07XANg
8544,Healthcare Management,Healthcare Marketing,,4 buckets and 3 levers of Hospital Marketing - Tools to Reach Top ~ Prof. Dr. Ashok Thiakarajan Talk,https://www.youtube.com/watch?v=7vKpYTAziMg
8545,Healthcare Management,Healthcare Marketing,,How to do online promotion of Hospital/Clinic?,https://www.youtube.com/watch?v=oCAUjjTZVvU
8546,Healthcare Management,Healthcare Marketing,,Healthcare Marketing,https://www.youtube.com/watch?v=8ANjDh6qu8o
8547,Healthcare Management,Healthcare Marketing,,Healthcare Sales and Marketing very well explained Video 1,https://www.youtube.com/watch?v=Lz5DaMjM9sM
8548,Healthcare Management,Healthcare Marketing,,5 Marketing Tips for Clinic Owners,https://www.youtube.com/watch?v=9Sva1LpFzNA
8549,Healthcare Management,Healthcare Marketing,,Innovative Marketing Ideas (MARKETING TIPS),https://www.youtube.com/watch?v=Q8FjdVP4Qn0
8550,Healthcare Management,Healthcare Marketing,,Hospital Marketing Video,https://www.youtube.com/watch?v=5f5u_lrqXDs
8551,Healthcare Management,Healthcare Marketing,,Small Hospital Big Ideas Design Competition,https://www.youtube.com/watch?v=LDeF4rbh240
8552,Healthcare Management,Healthcare Marketing,,13 Marketing Strategies to succeed in rural India,https://www.youtube.com/watch?v=mgJgzdsvR8Q
