Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
3714,Hospitality Management,Hospitality Law,0hrs 167min,Contracts: What is Consideration?,https://www.youtube.com/watch?v=PLStHYD1eCk
3715,Hospitality Management,Hospitality Law,,What are express and implied contracts?,https://www.youtube.com/watch?v=CaJ4Ay1KyMU
3716,Hospitality Management,Hospitality Law,,What are bilateral and unilateral contracts?,https://www.youtube.com/watch?v=ogq9TNe9l_4
3717,Hospitality Management,Hospitality Law,,Common law Vs Statutory Law & Common law Vs Civil law : Differences,https://www.youtube.com/watch?v=iUCepIy2UUI
3718,Hospitality Management,Hospitality Law,,Example of voidable contract,https://www.youtube.com/watch?v=UJv6hhtKaMY
3719,Hospitality Management,Hospitality Law,,Difference between Void Vs. Voidable Contract | Nature of Contract | Types of Contract | CA CPT | CS,https://www.youtube.com/watch?v=Z5wT7saLwxw
3720,Hospitality Management,Hospitality Law,,What is Unenforceable Contract | Nature of Contract | Types of Contract | CA CPT | CS & CMA,https://www.youtube.com/watch?v=jAEf1Sp_FwY
3721,Hospitality Management,Hospitality Law,,Statute of limitations Meaning,https://www.youtube.com/watch?v=LFEuhlQUn08
3722,Hospitality Management,Hospitality Law,,What Is Negligence? | LawInfo,https://www.youtube.com/watch?v=ZZGvV5MVkps
3723,Hospitality Management,Hospitality Law,,What is contributory negligence?,https://www.youtube.com/watch?v=ipstJuZMCMw
3724,Hospitality Management,Hospitality Law,,What is comparative negligence?,https://www.youtube.com/watch?v=-BBnH65BLrU
3725,Hospitality Management,Hospitality Law,,The Difference between a Tort and a Crime,https://www.youtube.com/watch?v=7xmPCnAoED0
3726,Hospitality Management,Hospitality Law,,Enforceable vs Valid Contracts,https://www.youtube.com/watch?v=gSqcz67fGgI
3727,Hospitality Management,Hospitality Law,,Dram Shop Act,https://www.youtube.com/watch?v=v4AFmtyIItE
3728,Hospitality Management,Hospitality Law,,What is a Tip Credit?,https://www.youtube.com/watch?v=z7QKGXQcvno
3729,Hospitality Management,Hospitality Law,,Express Warranties,https://www.youtube.com/watch?v=fRZb6NAW2mk
3730,Hospitality Management,Hospitality Law,,Understanding Vehicle Warranties ~ Podcast Episode 25,https://www.youtube.com/watch?v=IDPeTI2zNxY
3731,Hospitality Management,Hospitality Law,,"What is the difference between an implied or express limited warranty, and a service contract?",https://www.youtube.com/watch?v=zZdfwEx5VJ4
3732,Hospitality Management,Hospitality Law,,What is the National Labor Relations Act?,https://www.youtube.com/watch?v=TSJw4NQChh0
3733,Hospitality Management,Hospitality Law,,The NLRB Rule Explained,https://www.youtube.com/watch?v=Xz6bp4NGqgk
3734,Hospitality Management,Hospitality Law,,What is a Tip Credit?,https://www.youtube.com/watch?v=z7QKGXQcvno
3735,Hospitality Management,Hospitality Law,,What are express and implied contracts?,https://www.youtube.com/watch?v=CaJ4Ay1KyMU
3736,Hospitality Management,Hospitality Law,,Clayton Anti-Trust Act,https://www.youtube.com/watch?v=eglTgSjnYjg
3737,Hospitality Management,Hospitality Law,,A Brief History of the Birth of the Federal Trade Commission,https://www.youtube.com/watch?v=NssfPApe5iQ
