Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
3770,Hospitality Management,Hospitality Management,0hrs 656min,Hospitality Management - Perspective on careers in hospitality,https://www.youtube.com/watch?v=iP0yfOfR79w
3771,Hospitality Management,Hospitality Management,,Hospitality Management - Food service,https://www.youtube.com/watch?v=ux1qkB9gmFU
3772,Hospitality Management,Hospitality Management,,Hospitality Management - Lodging,https://www.youtube.com/watch?v=SmLJPQQoRzg
3773,Hospitality Management,Hospitality Management,,Hospitality Management - Travel and tourism,https://www.youtube.com/watch?v=WCK9zQyW9pc
3774,Hospitality Management,Hospitality Management,,Hospitality Management- Management in the hospitality industry,https://www.youtube.com/watch?v=K_Z8LqsSN8E
3775,Hospitality Management,Hospitality Management,,Hospitality Management - Hospitality as a service industry,https://www.youtube.com/watch?v=XftbMRwiRxk
3776,Hospitality Management,Hospitality Management,,Hospitality Management - Types of hotels,https://www.youtube.com/watch?v=7W2qA6JZU3U
3777,Hospitality Management,Hospitality Management,,Hospitality Management - Hotel amenities,https://www.youtube.com/watch?v=2GMZ6wgYYBI
3778,Hospitality Management,Hospitality Management,,Hospitality Management - Entertainment and events,https://www.youtube.com/watch?v=x3GGbYULX8o
3779,Hospitality Management,Hospitality Management,,Hospitality Management - Ownership and affiliation,https://www.youtube.com/watch?v=XUtmBtfegM0
3780,Hospitality Management,Hospitality Management,,Hospitality Management - Different hotel functions,https://www.youtube.com/watch?v=UbFzq3xEZig
3781,Hospitality Management,Hospitality Management,,Hospitality Management - The power of guest and employee engagement,https://www.youtube.com/watch?v=ZYH1_4fXysA
3782,Hospitality Management,Hospitality Management,,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
3783,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3784,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3785,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3786,Hospitality Management,Hospitality Management,0hrs 656min,Hospitality Management - Perspective on careers in hospitality,https://www.youtube.com/watch?v=iP0yfOfR79w
3787,Hospitality Management,Hospitality Management,,Hospitality Management - Food service,https://www.youtube.com/watch?v=ux1qkB9gmFU
3788,Hospitality Management,Hospitality Management,,Hospitality Management - Lodging,https://www.youtube.com/watch?v=SmLJPQQoRzg
3789,Hospitality Management,Hospitality Management,,Hospitality Management - Travel and tourism,https://www.youtube.com/watch?v=WCK9zQyW9pc
3790,Hospitality Management,Hospitality Management,,Hospitality Management- Management in the hospitality industry,https://www.youtube.com/watch?v=K_Z8LqsSN8E
3791,Hospitality Management,Hospitality Management,,Hospitality Management - Hospitality as a service industry,https://www.youtube.com/watch?v=XftbMRwiRxk
3792,Hospitality Management,Hospitality Management,,Hospitality Management - Types of hotels,https://www.youtube.com/watch?v=7W2qA6JZU3U
3793,Hospitality Management,Hospitality Management,,Hospitality Management - Hotel amenities,https://www.youtube.com/watch?v=2GMZ6wgYYBI
3794,Hospitality Management,Hospitality Management,,Hospitality Management - Entertainment and events,https://www.youtube.com/watch?v=x3GGbYULX8o
3795,Hospitality Management,Hospitality Management,,Hospitality Management - Ownership and affiliation,https://www.youtube.com/watch?v=XUtmBtfegM0
3796,Hospitality Management,Hospitality Management,,Hospitality Management - Different hotel functions,https://www.youtube.com/watch?v=UbFzq3xEZig
3797,Hospitality Management,Hospitality Management,,Hospitality Management - The power of guest and employee engagement,https://www.youtube.com/watch?v=ZYH1_4fXysA
3798,Hospitality Management,Hospitality Management,,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
3799,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3800,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3801,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3930,Hospitality Management,Hospitality Management,0hrs 656min,Hospitality Management - Perspective on careers in hospitality,https://www.youtube.com/watch?v=iP0yfOfR79w
3931,Hospitality Management,Hospitality Management,,Hospitality Management - Food service,https://www.youtube.com/watch?v=ux1qkB9gmFU
3932,Hospitality Management,Hospitality Management,,Hospitality Management - Lodging,https://www.youtube.com/watch?v=SmLJPQQoRzg
3933,Hospitality Management,Hospitality Management,,Hospitality Management - Travel and tourism,https://www.youtube.com/watch?v=WCK9zQyW9pc
3934,Hospitality Management,Hospitality Management,,Hospitality Management- Management in the hospitality industry,https://www.youtube.com/watch?v=K_Z8LqsSN8E
3935,Hospitality Management,Hospitality Management,,Hospitality Management - Hospitality as a service industry,https://www.youtube.com/watch?v=XftbMRwiRxk
3936,Hospitality Management,Hospitality Management,,Hospitality Management - Types of hotels,https://www.youtube.com/watch?v=7W2qA6JZU3U
3937,Hospitality Management,Hospitality Management,,Hospitality Management - Hotel amenities,https://www.youtube.com/watch?v=2GMZ6wgYYBI
3938,Hospitality Management,Hospitality Management,,Hospitality Management - Entertainment and events,https://www.youtube.com/watch?v=x3GGbYULX8o
3939,Hospitality Management,Hospitality Management,,Hospitality Management - Ownership and affiliation,https://www.youtube.com/watch?v=XUtmBtfegM0
3940,Hospitality Management,Hospitality Management,,Hospitality Management - Different hotel functions,https://www.youtube.com/watch?v=UbFzq3xEZig
3941,Hospitality Management,Hospitality Management,,Hospitality Management - The power of guest and employee engagement,https://www.youtube.com/watch?v=ZYH1_4fXysA
3942,Hospitality Management,Hospitality Management,,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
3943,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3944,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3945,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3946,Hospitality Management,Hospitality Management,0hrs 656min,Hospitality Management - Perspective on careers in hospitality,https://www.youtube.com/watch?v=iP0yfOfR79w
3947,Hospitality Management,Hospitality Management,,Hospitality Management - Food service,https://www.youtube.com/watch?v=ux1qkB9gmFU
3948,Hospitality Management,Hospitality Management,,Hospitality Management - Lodging,https://www.youtube.com/watch?v=SmLJPQQoRzg
3949,Hospitality Management,Hospitality Management,,Hospitality Management - Travel and tourism,https://www.youtube.com/watch?v=WCK9zQyW9pc
3950,Hospitality Management,Hospitality Management,,Hospitality Management- Management in the hospitality industry,https://www.youtube.com/watch?v=K_Z8LqsSN8E
3951,Hospitality Management,Hospitality Management,,Hospitality Management - Hospitality as a service industry,https://www.youtube.com/watch?v=XftbMRwiRxk
3952,Hospitality Management,Hospitality Management,,Hospitality Management - Types of hotels,https://www.youtube.com/watch?v=7W2qA6JZU3U
3953,Hospitality Management,Hospitality Management,,Hospitality Management - Hotel amenities,https://www.youtube.com/watch?v=2GMZ6wgYYBI
3954,Hospitality Management,Hospitality Management,,Hospitality Management - Entertainment and events,https://www.youtube.com/watch?v=x3GGbYULX8o
3955,Hospitality Management,Hospitality Management,,Hospitality Management - Ownership and affiliation,https://www.youtube.com/watch?v=XUtmBtfegM0
3956,Hospitality Management,Hospitality Management,,Hospitality Management - Different hotel functions,https://www.youtube.com/watch?v=UbFzq3xEZig
3957,Hospitality Management,Hospitality Management,,Hospitality Management - The power of guest and employee engagement,https://www.youtube.com/watch?v=ZYH1_4fXysA
3958,Hospitality Management,Hospitality Management,,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
3959,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3960,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
3961,Hospitality Management,Hospitality Management,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
