Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4757,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,48hrs 4min,Job Analysis | Human Resource Management | Part-4 | Job Description | Meaning | BBA | B.Com | MBA,https://www.youtube.com/watch?v=dqaE5s7hQS4
4758,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Job Analysis | Job Description | Job specification | Part-5 | HRM | Meaning | BBA | B.Com | MBA,https://www.youtube.com/watch?v=HzIYfS9jUAc
4759,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Human Resource Planning | Human Resource Management | Part-6 | Meaning | Objective | BBA  B.Com MBA,https://www.youtube.com/watch?v=8rVrsL7u8Gs
4760,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Human Resource Planning | Human Resource Management | Part-7 | Meaning | Objective | BBA  B.Com MBA,https://www.youtube.com/watch?v=kyxXt68EIMw
4761,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Recruitment | Human Resource Management | Part-8 | Meaning | Sources | Objective | BBA | B.Com | MBA,https://www.youtube.com/watch?v=0OUGCS4bPZs
4762,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Recruitment | Human Resource Management | Part-9 | Sources Of Recruitment | BBA | B.Com | MBA,https://www.youtube.com/watch?v=egIHGkq39WY
4763,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Recruitment | Human Resource Management | Part-10 | Methods Of Recruitment | BBA | B.Com | MBA,https://www.youtube.com/watch?v=_aE_2LJJDOc
4764,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Selection | Human Resource Management | Part-11 | Meaning | Selection Process | BBA | B.Com | MBA,https://www.youtube.com/watch?v=in1zHCJkFvQ
4765,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Placement | Induction | Orientation | Human Resource Management | Part-12 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=83tdfS3TVWg
4766,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Internal Mobility | Transfer | Promotion | Human Resource Management | Part-13 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=kVWY3sTeULM
4767,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Promotion | Internal Mobility | Transfer | Human Resource Management | Part-14 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=ZpX5-QoDmn0
4768,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Employee Separation | Resignation | Retirement | Retrenchment | Lay Off | Part-15| BBA | B.Com | MBA,https://www.youtube.com/watch?v=Ym1WvQB9aak
4769,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Training | Purpose | Method | Types | Human Resource Management | Part-16 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=LFmWiY1VQJM
4770,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Training | Philosophy Of Training | Method | Human Resource Management | Part-17 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=sUcZuRYXg7g
4771,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Training | Types Of Training | Method | Human Resource Management | Part-18 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=VKMvOw_VtNg
4772,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Training | Types Of Training | Method | Human Resource Management | Part-19 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=oh06VX9rZP8
4773,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Training Methods  | Methods Of Training | Human Resource Management | Part-20 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=lFlqnnFl_Ig
4774,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Career Planning | Succession Planning | Human Resource Management | Part-21 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=y-J7fiiFTHg
4775,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Career Planning | Succession Planning | Human Resource Management | Part-22 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=Ax27QbZXKB4
4776,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Human Resource Development | HRD | Meaning | Human Resource Management | Part-23 | BBA | B.Com | MBA,https://www.youtube.com/watch?v=TVRJ337Rhcc
4777,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Job Design | Meaning | Techniques | Approaches | Human Resource Management | Part-24 | BBA | MBA,https://www.youtube.com/watch?v=ymkvpK1vaQ8
4778,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Job Design | Meaning | Techniques | Approaches | Human Resource Management | Part-25 | BBA | MBA,https://www.youtube.com/watch?v=WoSjPtPNEhg
4779,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Motivation | Theory Of Motivation | Maslow's Need Hierarchy Theory | HRM | Part-26 | BBA | MBA|B.COM,https://www.youtube.com/watch?v=vyH9OPJ3ra4
4780,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Motivation | Theory Of Motivation | Herzberg's Two Factor Theory | HRM | Part-27 | BBA | MBA | B.COM,https://www.youtube.com/watch?v=UdiK3XzvsCI
4781,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Achievement Motivation Theory | Motivation | Theory Of Motivation | HRM | Part-28 | BBA | MBA |B.COM,https://www.youtube.com/watch?v=Yk4VaHDqUfA
4782,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Theory X and Theory Y | Motivation | Theory Of Motivation | HRM | Part-29 | BBA | MBA |B.com,https://www.youtube.com/watch?v=ksMVdMcxvVY
4783,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Theory Z | Motivation | Theory Of Motivation | HRM | Part-30 | BBA | MBA | B.com | M.Com,https://www.youtube.com/watch?v=3l7ra5FRgcc
4784,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Job Evaluation | Meaning | Methods Of Job Evaluation | HRM | Part-31 | BBA | MBA | B.com | M.Com,https://www.youtube.com/watch?v=9-Zbqma6OZg
4785,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Job Evaluation | Meaning | Methods Of Job Evaluation | HRM | Part-31 | BBA | MBA | B.com | M.Com,https://www.youtube.com/watch?v=p8LKTxHyrF0
4786,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Performance Appraisal | Meaning | Features | Objectives | Process | Methods | HRM | Part-33 |,https://www.youtube.com/watch?v=ZqhjBDRHeRY
4787,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Performance Appraisal | Meaning | Features | Objectives | Process | Methods | HRM | Part-34,https://www.youtube.com/watch?v=ploNS_l0gC0
4788,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Performance Appraisal | Meaning | Features | Objectives | Process | Methods | HRM | Part-35,https://www.youtube.com/watch?v=yDkkvrBn4Ok
4789,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Trade Union | Meaning | Functions | Objectives | Problem | HRM | Part-36 | B.Com | BBA | MBA | M.Com,https://www.youtube.com/watch?v=wnm3uoIi2Lo
4790,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Collective Bargaining | Meaning | Objectives | Process | HRM | Part-37 | B.Com | BBA | MBA | M.Com,https://www.youtube.com/watch?v=VjPISfYrW6A
4791,Human Resource Management,Human Resource Management | Full Course | BBA | B.Com |MBA,,Employee Grievances | Meaning | Forms | Causes | Effect | Procedure | HRM | Part-36 | B.Com | BBA |,https://www.youtube.com/watch?v=l-YDik3iQsY
