Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
11161,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),36hrs 11min,"Employee Relation and Labour Laws, Employee Relation Management, Industrial Relation, IR, mba, b.com",https://www.youtube.com/watch?v=OeXWToR2pIU
11162,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Trade Unions, Trade Union Act 1926, Function and Type, Registration, Industrial democracy, WPM, mba",https://www.youtube.com/watch?v=5oy1D1dciTo
11163,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Collective Bargaining, Significance, Types and Procedure of Collective Bargaining, ER, IR, mba ,bcom",https://www.youtube.com/watch?v=C83z3kfwVJs
11164,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Discipline, Misconduct, forms of misconduct,  Disciplinary action, Punishment, type of Punishment",https://www.youtube.com/watch?v=niYzGT50its
11165,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Grievance Handling, Grievance Settlement Procedure, industrial dispute, conciliation, arbitration",https://www.youtube.com/watch?v=qomyHHVRZXc
11166,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Employee Participation, Objectives, Advantages of Employee Participation, Methods of Participation,",https://www.youtube.com/watch?v=FVTrbxITxQM
11167,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Employee Empowerment, in hrm, employee empowerment in hindi, employee relations and labour laws",https://www.youtube.com/watch?v=x3dnpTsAI_4
11168,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The Factories Act 1948, Factory act, employee safety, employee health, safety provision, mba, b.com",https://www.youtube.com/watch?v=htLI81MuGbs
11169,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The shop and Establishment Act 1948, The Uttar Pradesh Dookan aur Vanijya Adhishthan Adhiniyam 1962",https://www.youtube.com/watch?v=T7k-Im-7DnY
11170,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The workmen compensation act, the employee compensation act,ba, b.com, labour laws, employee, mba",https://www.youtube.com/watch?v=NKBVqJ2XCrM
11171,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The Payment of Wage Act 1936, The Payment of Minimum Wage Act 1936, employee relations and labour",https://www.youtube.com/watch?v=Ajt2CIo4NBE
11172,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The Contract Labour (Regulation and abolition) act 1970, the contract labour act 1970, labour laws",https://www.youtube.com/watch?v=9LvIAcMIHns
11173,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Employees State Insurance Act 1948 : Objective, Benefits, Contribution, labour welfare law b.com",https://www.youtube.com/watch?v=s3A744e2il4
11174,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Child Labour Act 1986, Child Labour prohibition and Regulation Act 1986, employee relations, labour",https://www.youtube.com/watch?v=-A7rSPuHNW8
11175,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The Payment of Bonus Act 1965, Bonus, Payment of Bonus, Employee Relations and Labour Laws, mba, bba",https://www.youtube.com/watch?v=KLyHjvp0aE0
11176,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The Payment of Gratuity Act 1972, Gratuity, Penalties, Applicability, Calculation of Gratuity, laws",https://www.youtube.com/watch?v=oC4vB3x4Bgo
11177,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The Maternity Benefit Act 1961, maternity act 1961, employee relations and labour laws, mba, b.com",https://www.youtube.com/watch?v=xXiyv_5z5mQ
11178,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Employees Provident Funds and Miscellaneous Provisions Act 1952, EPF 1952, labour welfare law b.com",https://www.youtube.com/watch?v=C5D3glGQryY
11179,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"The Industrial Disputes Act 1947, Objective, Applicability, Authority, Penalties. labour laws",https://www.youtube.com/watch?v=tDHYY_pLA_8
11180,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Employees State Insurance Act 1948, Adjudication of Dispute and Claims, labour welfare laws b.com",https://www.youtube.com/watch?v=HulYo6-YXCg
11181,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Inspectors, Employees Provident Funds and Miscellaneous Provisions Act 1952, labour welfare law bcom",https://www.youtube.com/watch?v=Do8vugY67zg
11182,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"Penalties in Employees State Insurance Act 1948, labour welfare laws b.com, mba, bba, labour laws",https://www.youtube.com/watch?v=c1SwGYfZPck
11183,Human Resources,Employee Relations and Labour Laws (Dwivedi Guidance),,"offences and penalties, Employees Provident Funds and Miscellaneous Provisions Act 1952, EPF Act",https://www.youtube.com/watch?v=FAIy3Poxwgs
