Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
11184,Human Resources,Strategic Performance Management,77hrs 1min,Lecture 1 Introduction to Performance management,https://www.youtube.com/watch?v=OFwFznQ2e6w
11185,Human Resources,Strategic Performance Management,,Lecture 2 Aim and purpose of performance management,https://www.youtube.com/watch?v=hZY7vC2R28g
11186,Human Resources,Strategic Performance Management,,Lecture 3 Characteristics of an effective PM system,https://www.youtube.com/watch?v=ygvk-x-1qlo
11187,Human Resources,Strategic Performance Management,,Lecture 4 Performance Management Process,https://www.youtube.com/watch?v=Zb-dl5SPL-w
11188,Human Resources,Strategic Performance Management,,Lecture 5 Role of PM in employee development and identification of Key performance areas,https://www.youtube.com/watch?v=VkysKyPygtY
11189,Human Resources,Strategic Performance Management,,Lecture 6 Understanding performance planning,https://www.youtube.com/watch?v=yWTl3Qhoy0c
11190,Human Resources,Strategic Performance Management,,Lecture 7 Strategic Planning and performance,https://www.youtube.com/watch?v=YXJa_-J1lPU
11191,Human Resources,Strategic Performance Management,,Lecture 8 Strategic planning and performance(2),https://www.youtube.com/watch?v=vCBBvgb4gLc
11192,Human Resources,Strategic Performance Management,,Lecture 9 Strategic planning and performance(3),https://www.youtube.com/watch?v=BDjTweyK5FE
11193,Human Resources,Strategic Performance Management,,lecture 10: Strategy and performance alignment,https://www.youtube.com/watch?v=tTaW2HGun8k
11194,Human Resources,Strategic Performance Management,,Lecture 11 : Performance dimensions: Task and context,https://www.youtube.com/watch?v=8FNO1V03vSk
11195,Human Resources,Strategic Performance Management,,"Lecture 12 : Behavior, result and trait approach system",https://www.youtube.com/watch?v=paH8yZ2lxUg
11196,Human Resources,Strategic Performance Management,,Lecture 13 : Measuring behavior and results,https://www.youtube.com/watch?v=vHH_flkSmDc
11197,Human Resources,Strategic Performance Management,,Lecture 14 : Measurement system,https://www.youtube.com/watch?v=NAyFVd2WzBU
11198,Human Resources,Strategic Performance Management,,Lecture 15 : Collecting information in performance management,https://www.youtube.com/watch?v=Eij89o54kJc
11199,Human Resources,Strategic Performance Management,,Lecture 16 : Implementing PM System,https://www.youtube.com/watch?v=awja8z2Sa3M
11200,Human Resources,Strategic Performance Management,,Lecture 17 : Implementing PMS(2),https://www.youtube.com/watch?v=646GvO6QmxA
11201,Human Resources,Strategic Performance Management,,Lecture 18 : Self appraisal,https://www.youtube.com/watch?v=fmIFh0_tlPo
11202,Human Resources,Strategic Performance Management,,Lecture 19 : Managing team performance,https://www.youtube.com/watch?v=M7V8ZIumuM8
11203,Human Resources,Strategic Performance Management,,Lecture 20 : 360 degree appraisal,https://www.youtube.com/watch?v=7KlLCT-0wRE
11204,Human Resources,Strategic Performance Management,,Lecture 21 : Performance Management Skill,https://www.youtube.com/watch?v=vFcU-T6L6Ds
11205,Human Resources,Strategic Performance Management,,Lecture 22 : Performance Management & Employee Development,https://www.youtube.com/watch?v=s9TqaklDQp4
11206,Human Resources,Strategic Performance Management,,Lecture 23 : Coaching for performance improvement,https://www.youtube.com/watch?v=BURFv6wDfkw
11207,Human Resources,Strategic Performance Management,,"Lecture 24 : Coaching process,analysis and techniques",https://www.youtube.com/watch?v=oPyRZMfly38
11208,Human Resources,Strategic Performance Management,,Lecture 25 : Coching skills for managers and evaluation,https://www.youtube.com/watch?v=2SjI2HIGGu8
11209,Human Resources,Strategic Performance Management,,Lecture 26 : Performance Review,https://www.youtube.com/watch?v=y5-9612RyuU
11210,Human Resources,Strategic Performance Management,,Lecture 27 : Performance Review (Contd.),https://www.youtube.com/watch?v=0SL9CCKCoJk
11211,Human Resources,Strategic Performance Management,,Lecture 28 : Performance review Discussion,https://www.youtube.com/watch?v=S7tLRSnGEi0
11212,Human Resources,Strategic Performance Management,,Lecture 29 : Performance Analysis,https://www.youtube.com/watch?v=bthJbBCW728
11213,Human Resources,Strategic Performance Management,,Lecture 30 : Use of performance management data for HR decision making,https://www.youtube.com/watch?v=gh5Qs1zakl4
11214,Human Resources,Strategic Performance Management,,Lecture 31: Potential Appraisal (1),https://www.youtube.com/watch?v=wgr-l7KEMCE
11215,Human Resources,Strategic Performance Management,,Lecture 32: Potential Appraisal (2),https://www.youtube.com/watch?v=0sGQbM9tyR0
11216,Human Resources,Strategic Performance Management,,Lecture 33: Reward system 1,https://www.youtube.com/watch?v=c-NBSk7pE4M
11217,Human Resources,Strategic Performance Management,,Lecture 34: Reward system 2,https://www.youtube.com/watch?v=tjxIIl8z-sI
11218,Human Resources,Strategic Performance Management,,Lecture 35: Performance Management and Legal System,https://www.youtube.com/watch?v=yG4vK9kyono
11219,Human Resources,Strategic Performance Management,,Lecture 36: PMS in Indian Organisations,https://www.youtube.com/watch?v=Rdt6JKs40n0
11220,Human Resources,Strategic Performance Management,,Lecture 37: Culture and Performance Management,https://www.youtube.com/watch?v=QzQgv_ZL_D8
11221,Human Resources,Strategic Performance Management,,Lecture 38: Technology and Performance Management,https://www.youtube.com/watch?v=81TTNBimKhA
11222,Human Resources,Strategic Performance Management,,Lecture 39: PMS in Select Indian Companies,https://www.youtube.com/watch?v=csjr4g1SK3I
11223,Human Resources,Strategic Performance Management,,Lecture 40: Future of Performance Management,https://www.youtube.com/watch?v=Gq6Nn5HDYc4
