Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
11126,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,13hrs 14min,1.1 Introduction to the Course │ Design of RCC Building as per IS Codes with ETABS │ Akshay Thakur,https://www.youtube.com/watch?v=mTLmMwKvukw
11127,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,1.2 Overview of Course Sections │ Design of RCC Building as per IS Codes with ETABS │ Akshay Thakur,https://www.youtube.com/watch?v=4DexZWHDquw
11128,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,2.1 Details of Structure │ Complete Design of RCC Building as per IS Codes by ETABS │ Akshay Thakur,https://www.youtube.com/watch?v=8h6UTMaMQgE
11129,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,3.1 Floor Plan and Architectural Aspects │ Design of G+3 RCC Building by ETABS │ Akshay Thakur,https://www.youtube.com/watch?v=8P_Qp7W68G4
11130,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,3.2 Structural Planning as per IS 456: 2000 and IS 13920: 2016 │ Akshay Thakur,https://www.youtube.com/watch?v=VLm55BQvC3o
11131,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,4.1 Dead Load [DL] & Super-Imposed Dead Load [SIDL] Manual Calculations as per IS 875 (Part-1): 1987,https://www.youtube.com/watch?v=0ZPreDxAcms
11132,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,4.2 Live Load [LL] consideration from IS 875 (Part-2): 1987 │ Design of RCC Building │ Akshay Thakur,https://www.youtube.com/watch?v=OB6H5VR1hPs
11133,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,4.3 Wind Load [WL] Manual Calculations By Force Coefficient Method as per IS 875 (Part-3): 2015,https://www.youtube.com/watch?v=fWQpGOnEN4g
11134,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,4.4 Seismic Earthquake Load EL Parameters and Important Terms as per IS 1893 (Part-1): 2016,https://www.youtube.com/watch?v=asgzBt_wGCQ
11135,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,4.5 Wall Load Calculations for Super Imposed Dead Load [SIDL] │ Akshay Thakur,https://www.youtube.com/watch?v=aJVBxm4LG74
11136,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,5.1 Brief Reading of IS 1893 (Part-1): 2016 │ Design of RC Building │ Akshay Thakur,https://www.youtube.com/watch?v=2Ro8Fal8nc8
11137,Interior Design,[Free Course] Complete Design of G+3 RCC Building as per IS Codes with ETABS and MS Excel,,6.1 General Introduction to ETABS │ Design of RCC Building as per IS Codes by ETABS │ Akshay Thakur,https://www.youtube.com/watch?v=iJ0NX9d3cJU
