Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
9503,International Relations,Information Security (IS),0hrs 390min,1.1 Security and objective of security,https://www.youtube.com/watch?v=UBO5aQYLUPA
9504,International Relations,Information Security (IS),,1.2 Types of security,https://www.youtube.com/watch?v=SsZ1TPFAwns
9505,International Relations,Information Security (IS),,1.3 Information security,https://www.youtube.com/watch?v=5FKTxCo6ouM
9506,International Relations,Information Security (IS),,1.4 History of information security,https://www.youtube.com/watch?v=tV-lXAvcNsQ
9507,International Relations,Information Security (IS),,1.5 Critical characteristics of information security,https://www.youtube.com/watch?v=Ss6cYR7JzzA
9508,International Relations,Information Security (IS),,1.6 NSTISSC,https://www.youtube.com/watch?v=8ln9W3IkP0M
9509,International Relations,Information Security (IS),,1.7 CIA Triangle,https://www.youtube.com/watch?v=2XBVFgx1Rzw
9510,International Relations,Information Security (IS),,1.8 Components of information security,https://www.youtube.com/watch?v=_PB0Kx1nDVU
9511,International Relations,Information Security (IS),,1.9 Securing the components,https://www.youtube.com/watch?v=J_VMF8_W-Hw
9512,International Relations,Information Security (IS),,1.10 Balancing security and access,https://www.youtube.com/watch?v=aSLQ2cHXwzw
9513,International Relations,Information Security (IS),,1.11 SDLC Software development life cycle,https://www.youtube.com/watch?v=0CUoDuegs-c
9514,International Relations,Information Security (IS),,1.12 Sec SDLC secured software development life cycle,https://www.youtube.com/watch?v=UX79K-0lmbU
9515,International Relations,Information Security (IS),,1.13 Need of security,https://www.youtube.com/watch?v=qvAVRO47zmw
9516,International Relations,Information Security (IS),,1.14 Threats and its types,https://www.youtube.com/watch?v=VRc3frMNw1Y
9517,International Relations,Information Security (IS),,1.15 Attacks and its types,https://www.youtube.com/watch?v=LybbA9aMNcw
9518,International Relations,Information Security (IS),,2.1 Laws Ethics and US laws,https://www.youtube.com/watch?v=OIfykbH2Xy4
9519,International Relations,Information Security (IS),,2.2 International laws and legal bodies,https://www.youtube.com/watch?v=rqpXfpdMlUc
9520,International Relations,Information Security (IS),,2.3 Ethics and information security 10 commandments of computer ethics,https://www.youtube.com/watch?v=-BQElgMW1Fk
9521,International Relations,Information Security (IS),,2.4 Risk management introduction,https://www.youtube.com/watch?v=vcb1dHbXWRc
9522,International Relations,Information Security (IS),,2.5 Risk identification,https://www.youtube.com/watch?v=UsLzliK2o9k
9523,International Relations,Information Security (IS),,2.6 Risk Assessments,https://www.youtube.com/watch?v=aOW_6UGQEMY
9524,International Relations,Information Security (IS),,2.7 Risk Control strategies,https://www.youtube.com/watch?v=cN3x6KYMG38
9525,International Relations,Information Security (IS),,2.8 Selecting a risk control strategy,https://www.youtube.com/watch?v=AfwziHFPw8A
9526,International Relations,Information Security (IS),,2.9 Quantitative vs qualitative risk control,https://www.youtube.com/watch?v=tllXFOQGRkQ
9527,International Relations,Information Security (IS),,2.10 Risk management discussion points,https://www.youtube.com/watch?v=rYUHfRNMC34
9528,International Relations,Information Security (IS),,2.11 Review of unit 2,https://www.youtube.com/watch?v=DzUpVKG4d-o
9529,International Relations,Information Security (IS),,3.1 Security policy and standards,https://www.youtube.com/watch?v=6NinzelMIBY
9530,International Relations,Information Security (IS),,3.2 Security Blueprint,https://www.youtube.com/watch?v=OFwlgLgL91Y
9531,International Relations,Information Security (IS),,3.3 Security education training and awareness,https://www.youtube.com/watch?v=6zUn7QeGch4
9532,International Relations,Information Security (IS),,3.4 Continuity Strategies,https://www.youtube.com/watch?v=CPi3JfqJrVY
9533,International Relations,Information Security (IS),,3.5 Firewall and VPNs,https://www.youtube.com/watch?v=Lyqm4GBFOEA
9534,International Relations,Information Security (IS),,3.6 Protecting remote connection,https://www.youtube.com/watch?v=bAvAThwGSyI
9535,International Relations,Information Security (IS),,3.7 Kerberos,https://www.youtube.com/watch?v=d0j0MmGuxD8
9536,International Relations,Information Security (IS),,3.8 Review of unit 3,https://www.youtube.com/watch?v=tWCyzpWNMNc
9537,International Relations,Information Security (IS),,4.1 All about IDPS and types,https://www.youtube.com/watch?v=shZIZd_eiU4
9538,International Relations,Information Security (IS),,4.2 IDPS detection methods,https://www.youtube.com/watch?v=463zDAhN6KE
9539,International Relations,Information Security (IS),,4.3 IDPS Response Behavior,https://www.youtube.com/watch?v=q9Y2_jXl1DQ
9540,International Relations,Information Security (IS),,4.4 Strengths and limitations of IDPS,https://www.youtube.com/watch?v=kZH0TcqIQVI
9541,International Relations,Information Security (IS),,4.5 Scanning and Analysis tools,https://www.youtube.com/watch?v=zY2912jVY78
9542,International Relations,Information Security (IS),,4.6 Access Control,https://www.youtube.com/watch?v=zMjmbFAq1Eo
9543,International Relations,Information Security (IS),,4.7 Access control devices,https://www.youtube.com/watch?v=xKzlKb7uqUw
9544,International Relations,Information Security (IS),,4.8 Cryptography,https://www.youtube.com/watch?v=iVrcjl4qkfY
9545,International Relations,Information Security (IS),,4.9 Terminology of Cryptography,https://www.youtube.com/watch?v=GkZVOP-DY48
9546,International Relations,Information Security (IS),,4.10 Cipher methods Monoalphabetic and polyalphabetic cipher,https://www.youtube.com/watch?v=WJLx7sn50p8
9547,International Relations,Information Security (IS),,4.11 The Hill Cipher,https://www.youtube.com/watch?v=ds3DdaXzrTo
9548,International Relations,Information Security (IS),,4.12 Playfair Cipher,https://www.youtube.com/watch?v=ycwnP_wYEpc
9549,International Relations,Information Security (IS),,4.13 Hash Function,https://www.youtube.com/watch?v=pwUdwEZ4rHU
9550,International Relations,Information Security (IS),,4.14 Cryptographic algorithms Symmetric key algorithms DES,https://www.youtube.com/watch?v=8sdhPT4xvvk
9551,International Relations,Information Security (IS),,4.15 Double and Triple DES,https://www.youtube.com/watch?v=1YFyqwH_rfs
9552,International Relations,Information Security (IS),,4.16 Advanced encryption standard,https://www.youtube.com/watch?v=oKtQFIqAM48
9553,International Relations,Information Security (IS),,4.17 Symmetric key algorithm,https://www.youtube.com/watch?v=dl9w5uFy8DA
9554,International Relations,Information Security (IS),,4.18 RSA Algorithm,https://www.youtube.com/watch?v=spNTz_MSpyU
9555,International Relations,Information Security (IS),,4.19 Diffe hellman algorithm,https://www.youtube.com/watch?v=_aga9NC3ivk
9556,International Relations,Information Security (IS),,4.20 Cryptography tools,https://www.youtube.com/watch?v=2RS-v8v7T0Y
9557,International Relations,Information Security (IS),,4.21 Attacks on cryptosystems,https://www.youtube.com/watch?v=bueft--ZPHU
9558,International Relations,Information Security (IS),,4.22 Security communication protocol,https://www.youtube.com/watch?v=_3g9gdcjkTA
9559,International Relations,Information Security (IS),,4.23 Review of unit 4,https://www.youtube.com/watch?v=zWH42ubt7d4
9560,International Relations,Information Security (IS),,5.1 Information security management,https://www.youtube.com/watch?v=oQQFzjMkdrw
