Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1541,Journalism,International Journalism,0hrs 1023min,Globalisation and International journalism |  Lecture 3,https://www.youtube.com/watch?v=m7dMzgCJ6r0
1542,Journalism,International Journalism,,"International Journalism, objectivity, Anglo American model, Peace journalism",https://www.youtube.com/watch?v=gXRBpkdJNsM
1543,Journalism,International Journalism,,What is International Journalism? | Online lecture series,https://www.youtube.com/watch?v=5DlPrIqetXQ
1544,Journalism,International Journalism,,Introduction to International Journalism course | Dr. Altaf Khan,https://www.youtube.com/watch?v=1TRW3-a4vvQ
1545,Journalism,International Journalism,,Globalisation and International journalism #2 | Lecture 4,https://www.youtube.com/watch?v=DS2V-55nMbY
1546,Journalism,International Journalism,,INAs and international journalism | Mass Communication,https://www.youtube.com/watch?v=q3ZCjX0KU10
1547,Journalism,International Journalism,,International Journalism The colonial legacy,https://www.youtube.com/watch?v=Mnn95rLQ0ug
1548,Journalism,International Journalism,,International Correspondents 1 | International Journalism,https://www.youtube.com/watch?v=57GJ1p2ZuXE
1549,Journalism,International Journalism,,International correspondent 2 | International Journalism Lecture 9,https://www.youtube.com/watch?v=m-K3uPcOODk
1550,Journalism,International Journalism,,New Media and International Journalism,https://www.youtube.com/watch?v=tn_H2314mOQ
1551,Journalism,International Journalism,,New Media and International Journalism,https://www.youtube.com/watch?v=tn_H2314mOQ
1552,Journalism,International Journalism,,The future of International Journalism,https://www.youtube.com/watch?v=wo2OCV-XVcs
