Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
2389,Law,Family Law,50hrs 9min,Sources and Schools of Hindu Law - Family Law,https://www.youtube.com/watch?v=xfI57zmC--Q
2390,Law,Family Law,,Sources And Schools of Muslim Law - Family Law,https://www.youtube.com/watch?v=EVOGr_yBWDo
2391,Law,Family Law,,Who is a Hindu - Family Law,https://www.youtube.com/watch?v=6izY6vAZYFQ
2392,Law,Family Law,,Types of Marriages in Ancient India - Family Law,https://www.youtube.com/watch?v=xhYl9DRYcuM
2393,Law,Family Law,,Marriage under Hindu Law - Family Law,https://www.youtube.com/watch?v=qVnHzHZLMDk
2394,Law,Family Law,,Marriage under Muslim Law - Family Law,https://www.youtube.com/watch?v=pMD757VmCAA
2395,Law,Family Law,,Muta Marriage - Family Law,https://www.youtube.com/watch?v=FcyX-bj72m4
2396,Law,Family Law,,Theories of Divorce - Family Law,https://www.youtube.com/watch?v=sEW47x6tOt8
2397,Law,Family Law,,Restitution of Conjugal Rights - Family Law,https://www.youtube.com/watch?v=WFLL9QzZW_k
2398,Law,Family Law,,Judicial Separation - Family Law,https://www.youtube.com/watch?v=zp0qVV51P_M
2399,Law,Family Law,,Divorce under Hindu Marriage Act - Family law,https://www.youtube.com/watch?v=xhXnLn_2P68
2400,Law,Family Law,,Iddat - Family Law,https://www.youtube.com/watch?v=qcPA9hQakxA
2401,Law,Family Law,,Dower - Family Law,https://www.youtube.com/watch?v=gm1CFtlgDbc
2402,Law,Family Law,,Divorce in Muslim Law - Family Law,https://www.youtube.com/watch?v=T4lY-ADIObw
2403,Law,Family Law,,Maintenance Under Muslim Law - Family Law,https://www.youtube.com/watch?v=Ln4y2Gk_G04
2404,Law,Family Law,,Maintenance under Hindu Law - Family Law,https://www.youtube.com/watch?v=i2zZiMhCOUo
2405,Law,Family Law,,Adoption Under Hindu Law - Family Law,https://www.youtube.com/watch?v=EJLbsCAQHNA
2406,Law,Family Law,,Guardianship Under Hindu Law - Family Law,https://www.youtube.com/watch?v=ZYAiQZ3_cgY
2407,Law,Family Law,,Adoption under Muslim Law - Family Law,https://www.youtube.com/watch?v=hqSIZ1SiXgs
2408,Law,Family Law,,Guardianship Under Muslim Law - Family Law,https://www.youtube.com/watch?v=8bTpEKmKF9M
2409,Law,Family Law,,CARA Guidelines and Inter Country Adoption - Family Law,https://www.youtube.com/watch?v=zzGSUJWFqYc
2410,Law,Family Law,,UCC - Uniform Civil Code - Family Law,https://www.youtube.com/watch?v=34XBez13JuE
2411,Law,Family Law,,Concept of Joint Family in Hinduism - Family Law,https://www.youtube.com/watch?v=G_CUnGXQTvU
2412,Law,Family Law,,Joint Heirship - Coparcenary - Family Law,https://www.youtube.com/watch?v=unE0OLLTl3s
2413,Law,Family Law,,Rights of Coparceners - Family Law,https://www.youtube.com/watch?v=VSvg-Hgvj8s
2414,Law,Family Law,,Partition - Family Law - Hindu Law,https://www.youtube.com/watch?v=stzofY8rl4Q
2415,Law,Family Law,,Rules of Inheritance - Intestate Succession - Hindu Law,https://www.youtube.com/watch?v=5VmeQE5J5U4
2416,Law,Family Law,,Succession under Hindu Law - Testamentary - Family Law,https://www.youtube.com/watch?v=FYz63i5djf4
2417,Law,Family Law,,Stridhan - Same as Dowry? - Family Law - Hindu Law,https://www.youtube.com/watch?v=BUumFnPe_NQ
2418,Law,Family Law,,Succession under Muslim Law - Testamentary - Family Law,https://www.youtube.com/watch?v=CmPgt40hLiw
2419,Law,Family Law,,Rules of Inheritance - Intestate Succesion - Muslim Law,https://www.youtube.com/watch?v=XxtPQiuuriA
2420,Law,Family Law,,Gift - Family Law,https://www.youtube.com/watch?v=w-FUuQFhX6k
2421,Law,Family Law,,Gift - Muslim Law - Family Law,https://www.youtube.com/watch?v=1O246OasbHw
2422,Law,Family Law,,Waqf - Family Law,https://www.youtube.com/watch?v=YydvZEQZPsY
