Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
2377,Marketing,Branding & Marketing,9hrs 13min,What Is Branding? 4 Minute Crash Course.,https://www.youtube.com/watch?v=sO4te2QNsHY
2378,Marketing,Branding & Marketing,,IDENTITY DESIGN: BRANDING,https://www.youtube.com/watch?v=pR7tMnKghDs
2379,Marketing,Branding & Marketing,,What is Branding? A deep dive with Marty Neumeier,https://www.youtube.com/watch?v=dpZfNNYUZEc
2380,Marketing,Branding & Marketing,,How To Build A Successful Personal Brand in 2024 (Full Masterclass),https://www.youtube.com/watch?v=1kUCm1JPzxg
2381,Marketing,Branding & Marketing,,How To Design Brand Identity Stylescapes,https://www.youtube.com/watch?v=lGmPCutgI2o
2382,Marketing,Branding & Marketing,,Branding: Identity Design w/ Yo Santosa,https://www.youtube.com/watch?v=mnSgHLBpOpw
2383,Marketing,Branding & Marketing,,🔴 How To Become A Brand Strategist,https://www.youtube.com/watch?v=jo5THshRG60
2384,Marketing,Branding & Marketing,,What Is The Difference Between Branding & Marketing? What's more important?,https://www.youtube.com/watch?v=yK7Rk7Oe588
2385,Marketing,Branding & Marketing,,Brand Identity Design Presentations and Critique - Young Guns EP 10,https://www.youtube.com/watch?v=P5cqMtqTNog
2386,Marketing,Branding & Marketing,,How To Get Attention In The Market 2022,https://www.youtube.com/watch?v=0nVNU5GFhm8
2387,Marketing,Branding & Marketing,,The Secret to Building a Personal Brand—Reduce Your Market Size & Create Clear Messaging,https://www.youtube.com/watch?v=81bLdOJwteA
2388,Marketing,Branding & Marketing,,Personal Branding Masterclass w/ Daniel Priestley,https://www.youtube.com/watch?v=zafDOeWNAxg
2389,Marketing,Branding & Marketing,,How to Position a Brand,https://www.youtube.com/watch?v=KSGzJiK9Uz8
2390,Marketing,Branding & Marketing,,🔴 Why Redesign the Dropbox Logo? Design Master Brian Collins Explains,https://www.youtube.com/watch?v=EGZG-tGlFEw
2391,Marketing,Branding & Marketing,,Personal Brand Secrets W/ Beats & Dr. Dre $3 Billion Sale To Apple,https://www.youtube.com/watch?v=jd0Ijs0a0ns
2392,Marketing,Branding & Marketing,,How to design a website from wireframes,https://www.youtube.com/watch?v=j5DK9jsEaUA
2393,Marketing,Branding & Marketing,,Brand Identity Design Process - Airline Branding Challenge - Young Guns EP 9,https://www.youtube.com/watch?v=N0WD9KG7kEY
2394,Marketing,Branding & Marketing,,3 Minutes Of Pure Branding Gold By Brian Collins,https://www.youtube.com/watch?v=bgStKKE6RUk
2395,Marketing,Branding & Marketing,,Going From Identity Design to Brand Strategy—A Deep Dive w/ Melinda Livsey Ep. 12,https://www.youtube.com/watch?v=3el7kOfTPK4
2396,Marketing,Branding & Marketing,,Quit Lying Saying You Create Brand Identities,https://www.youtube.com/watch?v=IOGkznjRKUI
2397,Marketing,Branding & Marketing,,Identity & Web Design - Trojan Storage Branding Case Study,https://www.youtube.com/watch?v=FYHD1fBKZDk
2398,Marketing,Branding & Marketing,,🔴 5 Ways To Turn Any Business Into An Admired Brand w/ Fabian Geyrhalter,https://www.youtube.com/watch?v=wMiqCHtHeEM
2399,Marketing,Branding & Marketing,,Branding for Non Creatives: Crash Course Full Keynote (2024),https://www.youtube.com/watch?v=h-eRwbbpfxo
2400,Marketing,Branding & Marketing,,Creating Demand: Sell Out Every Time!,https://www.youtube.com/watch?v=f3rEtqlMxrU
2401,Marketing,Branding & Marketing,,Marketing Vs. Advertising— Email Marketing Strategy (2023),https://www.youtube.com/watch?v=Q9Ze8KJtbVI
2402,Marketing,Branding & Marketing,,How to Craft a Story Brand That People Remember,https://www.youtube.com/watch?v=v8rfMt87Lb8
2403,Marketing,Branding & Marketing,,"How To Build A $1,000,000 Personal Brand (Detailed Breakdown)",https://www.youtube.com/watch?v=VYKA7hqZeZU
2404,Marketing,Branding & Marketing,,From Cliches to Creativity: Making Your Brand Stand Out,https://www.youtube.com/watch?v=jnbhLAVjFYQ
2405,Marketing,Branding & Marketing,,How Strategy SAVED My Design Business,https://www.youtube.com/watch?v=Xb5wldT512U
