Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
2507,Marketing,Product Management Playlist,22hrs 16min,"What is Product Management? Importance, Roles & Responsibilities (2023)",https://www.youtube.com/watch?v=IXXYTL4-RN8
2508,Marketing,Product Management Playlist,,Mastering Collaboration As Product Manager,https://www.youtube.com/watch?v=v7yqCtLfv30
2509,Marketing,Product Management Playlist,,What is Product Manager Salary in India 2023,https://www.youtube.com/watch?v=LFS9CSDOfZI
2510,Marketing,Product Management Playlist,,10 Types of Product Managers & their responsibilities,https://www.youtube.com/watch?v=I2tpl_3M49g
2511,Marketing,Product Management Playlist,,How a Product Manager Career Path looks like,https://www.youtube.com/watch?v=tPs6yOraeC8
2512,Marketing,Product Management Playlist,,Product Team Structure for Multiple Product Lines,https://www.youtube.com/watch?v=L770OVNj4Fo
2513,Marketing,Product Management Playlist,,5 Myths & Truths about Product Management,https://www.youtube.com/watch?v=yNYoGPGTsT0
2514,Marketing,Product Management Playlist,,6 Essential Tools for Product Managers in 2023,https://www.youtube.com/watch?v=UPeihH7gUOE
2515,Marketing,Product Management Playlist,,Top 5 Framework For Product Management (Must Know!),https://www.youtube.com/watch?v=i5UMmUl_m0Y
2516,Marketing,Product Management Playlist,,MoSCoW Prioritization Method | Product Management,https://www.youtube.com/watch?v=OnggNd8rgS0
2517,Marketing,Product Management Playlist,,RICE Prioritization Framework | Product Management,https://www.youtube.com/watch?v=efiQu5R644Y
2518,Marketing,Product Management Playlist,,How to use the Impact Effort Matrix for Product Management (Real Example),https://www.youtube.com/watch?v=uJtkPfX3lqk
2519,Marketing,Product Management Playlist,,AARRR Framework Product Management with Example,https://www.youtube.com/watch?v=5RqCL_rFY8U
2520,Marketing,Product Management Playlist,,5 WHY Analysis Explained with Examples | Product Management,https://www.youtube.com/watch?v=R-BQwH8q-Mk
2521,Marketing,Product Management Playlist,,Writing PRD for Product Management (PRD Template),https://www.youtube.com/watch?v=_Xps6-obdOU
2522,Marketing,Product Management Playlist,,What is a User Story in Product Management (with Examples),https://www.youtube.com/watch?v=OD8ftWjnKCg
2523,Marketing,Product Management Playlist,,7 Technical Skills For Product Manager with Non Technical background,https://www.youtube.com/watch?v=k-coF9_-UZ8
2524,Marketing,Product Management Playlist,,10 Product Manager Common Mistakes to Avoid,https://www.youtube.com/watch?v=JbOnTR27sN4
2525,Marketing,Product Management Playlist,,How To Become Product Manager In India (Step by Step Guide),https://www.youtube.com/watch?v=jJZiTCilUgw
2526,Marketing,Product Management Playlist,,"How to Answer ""Why Product Management""?",https://www.youtube.com/watch?v=IbaWQLOjcFk
2527,Marketing,Product Management Playlist,,Top 10 Common Product Manager Interview Questions and Answers India,https://www.youtube.com/watch?v=1I_OJuKmTzc
2528,Marketing,Product Management Playlist,,Best Framework For Product Sense Interview Questions And Answers,https://www.youtube.com/watch?v=ApOaYRMECLk
2529,Marketing,Product Management Playlist,,Product Strategy Interview Question: Guesstimate Tea cups consumed In Mumbai,https://www.youtube.com/watch?v=YsDzsv8RCNU
2530,Marketing,Product Management Playlist,,Product Execution Interview (Root Cause Analysis): Orders dropped by 15%,https://www.youtube.com/watch?v=ZsRA6pVcaMo
2531,Marketing,Product Management Playlist,,Product Management Interview: Monetize Google Calendar,https://www.youtube.com/watch?v=I3XS0HrQ-Ew
2532,Marketing,Product Management Playlist,,First 30 Days as a Product Manager,https://www.youtube.com/watch?v=PDxHoiS881M
2533,Marketing,Product Management Playlist,,5 Podcasts For Product Managers 2023,https://www.youtube.com/watch?v=Fzeab9Kuiks
2534,Marketing,Product Management Playlist,,5 Books for Product Managers (Must Read - 2023),https://www.youtube.com/watch?v=E_nFj_yJnp0
2535,Marketing,Product Management Playlist,,Product Manager vs Product Marketing Manager,https://www.youtube.com/watch?v=2g-bWFNwyso
2536,Marketing,Product Management Playlist,,B2B vs B2C Product Management,https://www.youtube.com/watch?v=rYptgAnU4rY
2537,Marketing,Product Management Playlist,,Do YOU really need a Product Management Course?,https://www.youtube.com/watch?v=HP-iIo2-4LM
2538,Marketing,Product Management Playlist,,Generative AI for Product Management?,https://www.youtube.com/watch?v=DVOyiPUwtms
2539,Marketing,Product Management Playlist,,What Is Product Strategy?,https://www.youtube.com/watch?v=H61jUcQKIgo
2540,Marketing,Product Management Playlist,,Top 10 Product Management Terms Explained (Part 2),https://www.youtube.com/watch?v=afwW_RyB0fU
2541,Marketing,Product Management Playlist,,Top 10 Product Management Terms Explained (Part 1),https://www.youtube.com/watch?v=7pFIuXm_qyY
2542,Marketing,Product Management Playlist,,How to build Product Roadmaps? 🛣📚,https://www.youtube.com/watch?v=6XntidaDx5s
2543,Marketing,Product Management Playlist,,5 AI Tools Every Product Manager Should Know About (2023),https://www.youtube.com/watch?v=cd_rpCl52Z4
