Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10379,Mathematics,Discrete Math II/Combinatorics (Entire course),49hrs 1min,Discrete Math II - 6.1.1 The Rules of Sum and Product,https://www.youtube.com/watch?v=spEjNcd37IQ
10380,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.1.2 The Complement Rule and Complex Counting Problems,https://www.youtube.com/watch?v=RhKYPnd0M4Y
10381,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.1.3 The Subtraction and Division Rules,https://www.youtube.com/watch?v=_DPdmSNHgQc
10382,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.2.1 The Pigeonhole Principle,https://www.youtube.com/watch?v=xEuPd4k_IPo
10383,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math - 6.2.2 A Pigeonhole Proof,https://www.youtube.com/watch?v=PeErJk98NRA
10384,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.3.1 Permutations,https://www.youtube.com/watch?v=DXfQTp4cCBI
10385,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.3.2 Combinations,https://www.youtube.com/watch?v=KdxrOsvUEh4
10386,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.3.3 More Combinations and Combinatorial Proof,https://www.youtube.com/watch?v=RF71svepC5s
10387,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.4.1 The Binomial Theorem,https://www.youtube.com/watch?v=EdZjEtiPmrM
10388,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.4.2 Pascal's Identity and Triangle,https://www.youtube.com/watch?v=Yc8_EFZbXuc
10389,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.4.3 Other Identities Involving Binomial Coefficients,https://www.youtube.com/watch?v=FPOhcZt2xzw
10390,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.5.1 Combinations with Repetition,https://www.youtube.com/watch?v=u_s7yYkpjNw
10391,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.5.2 Permutations with Indistinguishable Objects,https://www.youtube.com/watch?v=arCZpGWVE3s
10392,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.5.3 Distributing Objects into Boxes,https://www.youtube.com/watch?v=H8u7zfRj3y0
10393,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 8.5.1 The Principle of Inclusion-Exclusion,https://www.youtube.com/watch?v=kTHyp0OpjIY
10394,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 8.6.1 Apply the Principle of Inclusion-Exclusion:  No Conditions Satisfied,https://www.youtube.com/watch?v=VQmsTwbbDSo
10395,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 8.6.2 Apply the Principle of Inclusion-Exclusion: Linear Equation Model,https://www.youtube.com/watch?v=pgHluWEhDRA
