Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
3422,Medicine,Clinical Medicine,208hrs 15min,Brown Sequard Syndrome | Internal Medicine 💊,https://www.youtube.com/watch?v=nTvPn3UzpFk
3423,Medicine,Clinical Medicine,,Leukemia | Causes and Symptoms | Part 1/3,https://www.youtube.com/watch?v=TERow_uBIu8
3424,Medicine,Clinical Medicine,,Leukemia | Causes and Symptoms | Part 2/3,https://www.youtube.com/watch?v=2yfzeYX88po
3425,Medicine,Clinical Medicine,,Leukemia | Causes and Symptoms | Part 3/3,https://www.youtube.com/watch?v=t1dxHrW6bfA
3426,Medicine,Clinical Medicine,,HIV | AIDS | Symptoms and Treatment | Part 1/7,https://www.youtube.com/watch?v=RuvGAnMRtJ8
3427,Medicine,Clinical Medicine,,Myasthenia Gravis | Symptoms and Treatment | Part 1🩺,https://www.youtube.com/watch?v=3qN-vBuMDOw
3428,Medicine,Clinical Medicine,,Acute Pyogenic Bacterial Meningitis Part 1 🩺,https://www.youtube.com/watch?v=JX2Rt7sgUbg
3429,Medicine,Clinical Medicine,,HIV | AIDS | Symptoms and Treatment | Part 2/7,https://www.youtube.com/watch?v=1DKlOpxsyK0
3430,Medicine,Clinical Medicine,,Trigeminal Neuralgia | Causes and Treatment | Part 1,https://www.youtube.com/watch?v=rr6RaM4NjhQ
3431,Medicine,Clinical Medicine,,HIV | AIDS | Symptoms and Treatment | Part 3/7,https://www.youtube.com/watch?v=Eyn9PYngSgc
3432,Medicine,Clinical Medicine,,HIV - AIDS - Symptoms and Treatment - Part 5/7,https://www.youtube.com/watch?v=ZF_NkL64g7A
3433,Medicine,Clinical Medicine,,HIV | AIDS | Symptoms and Treatment | Part 6/7,https://www.youtube.com/watch?v=rOdBTJA_-d4
3434,Medicine,Clinical Medicine,,HIV | AIDS | Symptoms and Treatment | Part 4/7,https://www.youtube.com/watch?v=yK7Dwxk9dkQ
3435,Medicine,Clinical Medicine,,Myasthenia Gravis | Symptoms and Treatment | Part 2🩺,https://www.youtube.com/watch?v=38WB4WC7FQw
3436,Medicine,Clinical Medicine,,HIV | AIDS | Symptoms and Treatment | Part 7/7,https://www.youtube.com/watch?v=ksFrBnSwnvQ
3437,Medicine,Clinical Medicine,,Lambert Eaton Syndrome | Clinical Medicine🩺,https://www.youtube.com/watch?v=TkzBkiaN348
3438,Medicine,Clinical Medicine,,Acute Pyogenic Bacterial Meningitis Part 2 🩺,https://www.youtube.com/watch?v=7o9lPlC7xZ8
3439,Medicine,Clinical Medicine,,Acute Pyogenic Bacterial Meningitis Part 3 🩺,https://www.youtube.com/watch?v=lMygKY6r-PI
3440,Medicine,Clinical Medicine,,Acute Pyogenic Bacterial Meningitis Part 4 🩺,https://www.youtube.com/watch?v=1O_pA8evDOI
3441,Medicine,Clinical Medicine,,Trigeminal Neuralgia | Causes and Treatment | Part 2,https://www.youtube.com/watch?v=bkHKD43_dns
3442,Medicine,Clinical Medicine,,Trigeminal Neuralgia | Causes and Treatment | Part 3,https://www.youtube.com/watch?v=7y2GAvo-qm4
3443,Medicine,Clinical Medicine,,Acute Pyogenic Bacterial Meningitis Part 5 🩺,https://www.youtube.com/watch?v=NXmM_oAsRO0
3444,Medicine,Clinical Medicine,,Trigeminal Neuralgia | Causes and Treatment | Part 4,https://www.youtube.com/watch?v=9tHxwM8dtnQ
3445,Medicine,Clinical Medicine,,HIV AIDS | Sign Symptoms Transmission & Treatment | Dr Najeeb🩺,https://www.youtube.com/watch?v=1CXudj9yFFc
3446,Medicine,Clinical Medicine,,Rheumatic Fever & Heart Disease | Pathology | Dr Najeeb🫀,https://www.youtube.com/watch?v=ivIE8ARRIgM
3447,Medicine,Clinical Medicine,,Rheumatic Fever & Heart Disease - Part 1/7 🫀,https://www.youtube.com/watch?v=xzrU-ZU0GA0
3448,Medicine,Clinical Medicine,,Rheumatic Fever & Heart Disease Part 2/7,https://www.youtube.com/watch?v=FcDnmUrddSs
3449,Medicine,Clinical Medicine,,Rheumatic Fever & Heart Disease Part 4/7,https://www.youtube.com/watch?v=2vffK95WBWs
3450,Medicine,Clinical Medicine,,Rheumatic Fever & Heart Disease Part 5/7,https://www.youtube.com/watch?v=QMmnBfyH_SE
3451,Medicine,Clinical Medicine,,Rheumatic Fever & Heart Disease Part 6/7,https://www.youtube.com/watch?v=OpWiGVC23h8
3452,Medicine,Clinical Medicine,,"An Intro to Receptors | Types, Structure & Location | Part 1",https://www.youtube.com/watch?v=tj4qS3WDY3w
3453,Medicine,Clinical Medicine,,Receptor | Agonist and it's Types,https://www.youtube.com/watch?v=9bHMjy3LGgo
3454,Medicine,Clinical Medicine,,"Receptors & Drugs | Epinephrine, Norepinephrine, Albuterol",https://www.youtube.com/watch?v=PHmo1FZ5BfA
3455,Medicine,Clinical Medicine,,Normal Blood Glucose | Hyperglycemia | Hypoglycemia | Diabetes Mellitus🧑🏻‍⚕️,https://www.youtube.com/watch?v=KY85BUcQZew
3456,Medicine,Clinical Medicine,,Master Aortic Dissection | Dr Najeeb,https://www.youtube.com/watch?v=49tyt60UWeA
3457,Medicine,Clinical Medicine,,Fed State | Insulin & Role of Liver | Blood Glucose Regulation Part 2/2🧑🏻‍⚕️,https://www.youtube.com/watch?v=OF0UPWIVQC8
