Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12024,Music,Instrumental Covers of Popular Songs,9hrs 9min,Adele - Rolling in the Deep (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=lUjWJSnGVB0
12025,Music,Instrumental Covers of Popular Songs,,Christina Perri - A Thousand Years (Piano/Cello Cover),https://www.youtube.com/watch?v=QgaTQ5-XfMM
12026,Music,Instrumental Covers of Popular Songs,,Over the Rainbow/Simple Gifts (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=jzF_y039slk
12027,Music,Instrumental Covers of Popular Songs,,Titanium / Pavane (Piano/Cello Cover) - David Guetta / Faure - The Piano Guys,https://www.youtube.com/watch?v=fz4MzJTeL0c
12028,Music,Instrumental Covers of Popular Songs,,David Guetta - Without You ft. Usher (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=dfRtPbBFoGg
12029,Music,Instrumental Covers of Popular Songs,,Bring Him Home (from Les Misérables) - The Piano Guys,https://www.youtube.com/watch?v=5mJ08-pyDLg
12030,Music,Instrumental Covers of Popular Songs,,All of Me (Jon Schmidt original tune) - The Piano Guys,https://www.youtube.com/watch?v=9fAZIQ-vpdw
12031,Music,Instrumental Covers of Popular Songs,,Can't Help Falling in Love (Elvis) - The Piano Guys,https://www.youtube.com/watch?v=RZQNe8IMLtQ
12032,Music,Instrumental Covers of Popular Songs,,Phillip Phillips - Home (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=aF-Z1A0ujlg
12033,Music,Instrumental Covers of Popular Songs,,Rockelbel's Canon (Pachelbel's Canon in D) - 4 Cellos - The Piano Guys,https://www.youtube.com/watch?v=LV5_xj_yuhs
12034,Music,Instrumental Covers of Popular Songs,,Just the Way You Are - Bruno Mars (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=rIBRcQdzWQs
12035,Music,Instrumental Covers of Popular Songs,,Nearer My God to Thee (for 9 cellos) - The Piano Guys,https://www.youtube.com/watch?v=gosY-UrpHcA
12036,Music,Instrumental Covers of Popular Songs,,Beethoven's 5 Secrets - OneRepublic - The Piano Guys,https://www.youtube.com/watch?v=mJ_fkw5j-t0
12037,Music,Instrumental Covers of Popular Songs,,The Cello Song - (Bach is back with 7 more cellos) - The Piano Guys,https://www.youtube.com/watch?v=Ry4BzonlVlw
12038,Music,Instrumental Covers of Popular Songs,,Desert Symphony (Southern Utah's Landscape) - The Piano Guys,https://www.youtube.com/watch?v=RQ5ljyGg-ig
12039,Music,Instrumental Covers of Popular Songs,,Waterfall (Jon Schmidt Original) - The Piano Guys,https://www.youtube.com/watch?v=8P9hAN-teOU
12040,Music,Instrumental Covers of Popular Songs,,Charlie Brown Medley - The Piano Guys,https://www.youtube.com/watch?v=tyPDQpel8bI
12041,Music,Instrumental Covers of Popular Songs,,Taylor Swift -- Begin Again (Piano/Cello Cover) The Piano Guys,https://www.youtube.com/watch?v=P94DusN4LsY
12042,Music,Instrumental Covers of Popular Songs,,Heart of Worship - Instrumental with lyrics,https://www.youtube.com/watch?v=5Pju9ITqLaY
12043,Music,Instrumental Covers of Popular Songs,,Revelation song - Instrumental with lyrics,https://www.youtube.com/watch?v=o42YvxvSQPU
12044,Music,Instrumental Covers of Popular Songs,,Healer (instrumental track),https://www.youtube.com/watch?v=y_T26SAg4Dw
12045,Music,Instrumental Covers of Popular Songs,,Kari Jobe - Steady My Heart - Instrumental with lyrics,https://www.youtube.com/watch?v=Gwg9gK8zhkA
12046,Music,Instrumental Covers of Popular Songs,,what love is this -  kari jobe ♥ instrumental with lyrics ♥,https://www.youtube.com/watch?v=RgR36i5YFHE
12047,Music,Instrumental Covers of Popular Songs,,The Piano Guys Love Story meets Viva la Vida,https://www.youtube.com/watch?v=3VhMU5sVtdQ
