Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
13722,Nonprofit Management,Victor Cheng: Case Interview Workshop,46hrs 6min,Case Interview Workshop Introduction (Part 1 of 12) | caseinterview,https://www.youtube.com/watch?v=fBwUxnTpTBo
13723,Nonprofit Management,Victor Cheng: Case Interview Workshop,,Basics and Mindset of a Winning Case Interviewer (Part 2 of 12) | caseinterview,https://www.youtube.com/watch?v=h0e32s1vyt4
13724,Nonprofit Management,Victor Cheng: Case Interview Workshop,,"How to Open, Analyze, and Close a Case Interview (Part 3 of 12) | caseinterview",https://www.youtube.com/watch?v=3iwZD_1Q0Jk
13725,Nonprofit Management,Victor Cheng: Case Interview Workshop,,"Opening, Analyzing, and Closing Strategies for a Winning Interview (Part 4 of 12) | caseinterview",https://www.youtube.com/watch?v=3hTag-2Qr8Q
13726,Nonprofit Management,Victor Cheng: Case Interview Workshop,,How to Match Problem Solving Frameworks with Case Interview (Part 5 of 12) | caseinterview,https://www.youtube.com/watch?v=L8xIcvpNOSw
13727,Nonprofit Management,Victor Cheng: Case Interview Workshop,,How to Use the Profit Framework for Business Case Analysis (Part 6 of 12) | caseinterview,https://www.youtube.com/watch?v=jtvyRnmkDqo
13728,Nonprofit Management,Victor Cheng: Case Interview Workshop,,Mastering the Business Situation Case Interview Framework (Part 7 of 12) | caseinterview,https://www.youtube.com/watch?v=lhQvl0wo6Fs
13729,Nonprofit Management,Victor Cheng: Case Interview Workshop,,How to Practice Case Interviews | Proven Strategies to Practice (Part 8 of 12) | caseinterview,https://www.youtube.com/watch?v=huqJ4wZ-asY
13730,Nonprofit Management,Victor Cheng: Case Interview Workshop,,Case Interview: Watch Our Business Situation Demo for Expert Tips (Part 9 of 12) | caseinterview,https://www.youtube.com/watch?v=D-QlFzg_1EA
13731,Nonprofit Management,Victor Cheng: Case Interview Workshop,,Case Interview Question & Answers (Part 10 of 12) | caseinterview,https://www.youtube.com/watch?v=xAxnHVaVSlA
13732,Nonprofit Management,Victor Cheng: Case Interview Workshop,,Live Demo of a Mergers and Acquisition Case Interview (Part 11 of 12) | caseinterview,https://www.youtube.com/watch?v=_bmodEjtvnQ
13733,Nonprofit Management,Victor Cheng: Case Interview Workshop,,Case Interview: Essential Tips and Tricks (Part 12 of 12) | caseinterview,https://www.youtube.com/watch?v=gRUvbrOtd-c
