Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5915,Operations Management,Operations Management Full Course,3hrs 20min,Operations Management FULL COURSE Introduction - A Complete Overview,https://www.youtube.com/watch?v=Kt3wUDiUYvw
5916,Operations Management,Operations Management Full Course,,What is Operations Management and the Transformation Model,https://www.youtube.com/watch?v=9RxCPt10D5A
5917,Operations Management,Operations Management Full Course,,Inventory Management in Operations Management,https://www.youtube.com/watch?v=F-sT3XVV27M
5918,Operations Management,Operations Management Full Course,,"What is EOQ vs EPQ + ABC Analysis, Vendor Managed Inventory, and JIT",https://www.youtube.com/watch?v=I6NtUPwkI_Y
5919,Operations Management,Operations Management Full Course,,"What is Demand Planning? 4 Types of Demand Reviewed - Unexpected, Seasonal, Peak, and Chase Demand",https://www.youtube.com/watch?v=THBWu8Af9bE
5920,Operations Management,Operations Management Full Course,,Periodic and Perpetual Inventory Systems,https://www.youtube.com/watch?v=6cn-ISIkM6E
5921,Operations Management,Operations Management Full Course,,Operating Ethically and Sustainably - How Ethics and Sustainability Impact Business,https://www.youtube.com/watch?v=LwklKeZMF4g
5922,Operations Management,Operations Management Full Course,,What is a SWOT analysis?,https://www.youtube.com/watch?v=2h-fKL-jxvk
5923,Operations Management,Operations Management Full Course,,What is a Supply Chain and How it Works | Supply Chain Management,https://www.youtube.com/watch?v=rdMhJiNVTRc
5924,Operations Management,Operations Management Full Course,,Lean vs Agile - A Comparison of Agile and Lean Supply Chains,https://www.youtube.com/watch?v=fqY2TP_YTB8
5925,Operations Management,Operations Management Full Course,,Vertical Integration - The Difference Between Backward and Forward Vertical Integration,https://www.youtube.com/watch?v=8nb5GyeAM6w
5926,Operations Management,Operations Management Full Course,,What is Logistics - Reverse Logistics and  Third Party Logistics,https://www.youtube.com/watch?v=cPo4vekYw00
5927,Operations Management,Operations Management Full Course,,What is a Strategic Alliance and How They Benefit Organizations,https://www.youtube.com/watch?v=GkCfd3GaDSs
5928,Operations Management,Operations Management Full Course,,What is Benchmarking?,https://www.youtube.com/watch?v=jxWLrhLHo0o
5929,Operations Management,Operations Management Full Course,,What is the Theory of Constraints and Overcoming Bottlenecks,https://www.youtube.com/watch?v=8kT2aIftf_4
5930,Operations Management,Operations Management Full Course,,What is Forecasting in Supply Chain Management,https://www.youtube.com/watch?v=l1LpqkvDjfE
5931,Operations Management,Operations Management Full Course,,Forecasting METHODS - Qualitative and Quantitative Walkthrough in Excel,https://www.youtube.com/watch?v=MlJ8JZR0KWk
5932,Operations Management,Operations Management Full Course,,Master Production Schedule Operations Management - A Review of the Production Planning Process,https://www.youtube.com/watch?v=qy--zXxOwQ4
5933,Operations Management,Operations Management Full Course,,MRP vs  MRP II vs ERP - A Comparison of Planning Systems,https://www.youtube.com/watch?v=ttRqLwvN2Pw
5934,Operations Management,Operations Management Full Course,,Scheduling in Operations Management - Strategies for Scheduling Products and Services,https://www.youtube.com/watch?v=dqu7N5BIKBE
5935,Operations Management,Operations Management Full Course,,What is Capacity Planning in Operations Management,https://www.youtube.com/watch?v=Qf-UzEQ9CM4
5936,Operations Management,Operations Management Full Course,,Design Capacity and Effective Capacity - Calculating Capacity Utilization and Efficiency Rate,https://www.youtube.com/watch?v=swvGQU6UESg
5937,Operations Management,Operations Management Full Course,,Capacity Planning Strategies - A Comparison of Lead Lag Match and Adjustment,https://www.youtube.com/watch?v=k0Jbs3_3gRE
5938,Operations Management,Operations Management Full Course,,Location Analysis in Operations Management - Quantitative and Qualitative Factors,https://www.youtube.com/watch?v=EQY9ziDtvxQ
5939,Operations Management,Operations Management Full Course,,Facility Layout in Operations Management - Product vs Process Oriented Layout & Fixed,https://www.youtube.com/watch?v=qKca93vGPho
5940,Operations Management,Operations Management Full Course,,"Process Selection - A Review of Continuous Flow, Assembly Line, Batch Flow and Job Shop",https://www.youtube.com/watch?v=KaIPe5pUVbc
5941,Operations Management,Operations Management Full Course,,How to Calculate Total Cost Using Economies of Scale Production,https://www.youtube.com/watch?v=xn8LJrdaENw
5942,Operations Management,Operations Management Full Course,,What is Quality in Operations Management - ISO 9000 and ISO 14000,https://www.youtube.com/watch?v=kBTMmQR-Tgk
5943,Operations Management,Operations Management Full Course,,What is Quality Function Deployment - Internal and External Orientations of Quality,https://www.youtube.com/watch?v=xu8OMWusMf0
5944,Operations Management,Operations Management Full Course,,Statistical Process Control in Quality Management - 7 Tools,https://www.youtube.com/watch?v=TfVcP_drj50
