Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
521,Performing Arts,Lighting Design Basics,0hrs 952min,10 Things You need to Learn to become an Effective Lighting Designer,https://www.youtube.com/watch?v=a-i6qxRjRnE
522,Performing Arts,Lighting Design Basics,,How to do blue effect in Dialux evo,https://www.youtube.com/watch?v=b89XWQ0l8Cc
523,Performing Arts,Lighting Design Basics,,How create rooms with different heights inside the room,https://www.youtube.com/watch?v=iGm7N1W-LRI
524,Performing Arts,Lighting Design Basics,,Landscape Lighting Design Techniques Course,https://www.youtube.com/watch?v=4_Ge5scinRw
525,Performing Arts,Lighting Design Basics,,How to create a transparent net in Dialux evo,https://www.youtube.com/watch?v=-cl6eNN18v4
526,Performing Arts,Lighting Design Basics,,How to change false colour values in Dialux evo thru Daylight factor,https://www.youtube.com/watch?v=8ruuIo0eviM
527,Performing Arts,Lighting Design Basics,,How to label your Luminaire in Dialux evo,https://www.youtube.com/watch?v=-PiS7HCGFaY
528,Performing Arts,Lighting Design Basics,,Golf Course Lighting standards for Putting Green,https://www.youtube.com/watch?v=-yZl8WHHKNs
529,Performing Arts,Lighting Design Basics,,How to calculate UGR and check the luminaire Beam Angle,https://www.youtube.com/watch?v=4SVUQQhm3Vc
530,Performing Arts,Lighting Design Basics,,New feature of Dialux evo 8.0 - Single room calculation,https://www.youtube.com/watch?v=NgMvme53nHQ
531,Performing Arts,Lighting Design Basics,,How to use GIF animation in your Light Scenes from Dialux evo,https://www.youtube.com/watch?v=ISgVezhRmBM
532,Performing Arts,Lighting Design Basics,,How to create light scenes in Dialux evo,https://www.youtube.com/watch?v=Sf9jjx1rGfY
533,Performing Arts,Lighting Design Basics,,How to use jpg file as baseplan in Dialux evo,https://www.youtube.com/watch?v=5WlawrjAQac
534,Performing Arts,Lighting Design Basics,,How to use snipping tool instead of printscreen,https://www.youtube.com/watch?v=laJpxRiY7dk
535,Performing Arts,Lighting Design Basics,,How to do barissol or streched ceiling,https://www.youtube.com/watch?v=79eQGpucUH8
536,Performing Arts,Lighting Design Basics,,How to use mix lighting in one room using Dialux evo,https://www.youtube.com/watch?v=4gvqYFW_KJc
537,Performing Arts,Lighting Design Basics,,How to do Airport Apron Lighting Design,https://www.youtube.com/watch?v=1MKo7BPggWQ
538,Performing Arts,Lighting Design Basics,,How to create different ground levels for outdoor,https://www.youtube.com/watch?v=X3edIRhf8FI
539,Performing Arts,Lighting Design Basics,,How to apply two materials in one wall,https://www.youtube.com/watch?v=t-G3ssdoCwA
540,Performing Arts,Lighting Design Basics,,What is IP Rating?,https://www.youtube.com/watch?v=LINuRtDjVG4
541,Performing Arts,Lighting Design Basics,,What is UGR?,https://www.youtube.com/watch?v=N_k11ZoANHs
542,Performing Arts,Lighting Design Basics,,What is Light Nuisance and BUG Rating?,https://www.youtube.com/watch?v=LK7KIBQpLxQ
543,Performing Arts,Lighting Design Basics,,How to understand the AutoCAD drawing,https://www.youtube.com/watch?v=dcX49eGq1vw
544,Performing Arts,Lighting Design Basics,,How to do lighting design for video conference room,https://www.youtube.com/watch?v=2Pafs14REUg
545,Performing Arts,Lighting Design Basics,,How to fix the missing surface from Sketchup,https://www.youtube.com/watch?v=X5GCCfpLfXc
546,Performing Arts,Lighting Design Basics,,How to create baseboard moulding in Dialux evo,https://www.youtube.com/watch?v=X0eiK7ltS3g
547,Performing Arts,Lighting Design Basics,,Nelcas Computer Specifications,https://www.youtube.com/watch?v=QEoF4DzqaWU
548,Performing Arts,Lighting Design Basics,,Supermarket Lighting Design Course,https://www.youtube.com/watch?v=1oqpMJKu5LE
549,Performing Arts,Lighting Design Basics,,How to get LPD requirements,https://www.youtube.com/watch?v=vQjVhf3vNSk
550,Performing Arts,Lighting Design Basics,,How to create Barrisol or stretched ceiling in Dialux evo,https://www.youtube.com/watch?v=ZthGSDxwliI
551,Performing Arts,Lighting Design Basics,,Barrisol or stretched ceiling for retail shop,https://www.youtube.com/watch?v=xejbQIYlEZc
552,Performing Arts,Lighting Design Basics,,How to show the Light Distribution in 3D views,https://www.youtube.com/watch?v=OXkHIRjS3vQ
553,Performing Arts,Lighting Design Basics,,How to change the CCT in Dialux evo or how to make warm colour of light,https://www.youtube.com/watch?v=IvyHsi7y_t0
554,Performing Arts,Lighting Design Basics,,Landscape Lighting Design Teaser for E-book and Course,https://www.youtube.com/watch?v=OVbgYB4YDi8
555,Performing Arts,Lighting Design Basics,,Indoor Warehouse Lighting Design Part 1,https://www.youtube.com/watch?v=iO0e5NO_4EE
556,Performing Arts,Lighting Design Basics,,Indoor Warehouse Lighting Design Part 2,https://www.youtube.com/watch?v=UBDJGQV-BIE
557,Performing Arts,Lighting Design Basics,,Exterior Warehouse Lighting Design Part 1,https://www.youtube.com/watch?v=KPBx6Loq1hw
558,Performing Arts,Lighting Design Basics,,Exterior Warehouse Lighting Design Part 2,https://www.youtube.com/watch?v=iWlwVHQfITs
559,Performing Arts,Lighting Design Basics,,15 SACRIFICES You Need To Make If You Want To Be RICH,https://www.youtube.com/watch?v=PND7QS4dia0
560,Performing Arts,Lighting Design Basics,,What you need to know before designing facade lighting,https://www.youtube.com/watch?v=-uze-OLZe9o
561,Performing Arts,Lighting Design Basics,,4 ways on how to create facade in Dialux evo,https://www.youtube.com/watch?v=k9Y5kssGw7Y
562,Performing Arts,Lighting Design Basics,,How to do Build up for facade in Dialux evo,https://www.youtube.com/watch?v=H7XPtHpVci0
563,Performing Arts,Lighting Design Basics,,Daylighting Calculation in Dialux evo,https://www.youtube.com/watch?v=vkaZ0dcZMVI
564,Performing Arts,Lighting Design Basics,,Road Lighting with Catenary Mounting,https://www.youtube.com/watch?v=gdqzuldwQ6M
565,Performing Arts,Lighting Design Basics,,Road Lighting with Different Pole Spacing,https://www.youtube.com/watch?v=kiKoRagEa5I
566,Performing Arts,Lighting Design Basics,,How to create Barrisol with Skylight Effect in Dialux evo,https://www.youtube.com/watch?v=v-ragT7CVqM
567,Performing Arts,Lighting Design Basics,,Petrol or Fuel Station Lighting Design 1,https://www.youtube.com/watch?v=XGG-A3Bj-bQ
568,Performing Arts,Lighting Design Basics,,Petrol or Fuel Station Lighting Design 2,https://www.youtube.com/watch?v=YScGDh0BSuo
569,Performing Arts,Lighting Design Basics,,How to create different heights of rooms in Dialux evo,https://www.youtube.com/watch?v=Wc2lmUK-7U4
570,Performing Arts,Lighting Design Basics,,How to generate Report for Landscape Lighting Project in Dialux evo,https://www.youtube.com/watch?v=Xqnc3uWNxw8
571,Performing Arts,Lighting Design Basics,,How to create an inclined or leaning wall in Dialux evo,https://www.youtube.com/watch?v=66xBwwTOxiw
572,Performing Arts,Lighting Design Basics,,How to create Grayscale in Dialux evo,https://www.youtube.com/watch?v=kNhs64ezXN8
