Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4949,Petroleum Engineering,Data Analytics and Geostatistics,61hrs 4min,1a Data Analytics: Data Analytics Concepts,https://www.youtube.com/watch?v=pxckixOlguA
4950,Petroleum Engineering,Data Analytics and Geostatistics,,1b Data Analytics: Spatial Sampling,https://www.youtube.com/watch?v=QuVNN5MJM3w
4951,Petroleum Engineering,Data Analytics and Geostatistics,,1c Data Analytics: Subsurface Data Types,https://www.youtube.com/watch?v=cnoOZRytULE
4952,Petroleum Engineering,Data Analytics and Geostatistics,,2a Data Analytics: Probability,https://www.youtube.com/watch?v=IGPayWv1BBM
4953,Petroleum Engineering,Data Analytics and Geostatistics,,2b Data Analytics: Frequentist Probability,https://www.youtube.com/watch?v=NSvyljWT4mw
4954,Petroleum Engineering,Data Analytics and Geostatistics,,2c Data Analytics: Bayesian Probability,https://www.youtube.com/watch?v=Ppwfr8H177M
4955,Petroleum Engineering,Data Analytics and Geostatistics,,"2d Data Analytics: Joint, Marginal, Conditional Probability",https://www.youtube.com/watch?v=kxjnPVyuuo8
4956,Petroleum Engineering,Data Analytics and Geostatistics,,2e Data Analytics: Bayesian Coin Demo,https://www.youtube.com/watch?v=D1UKZGOYDOg
4957,Petroleum Engineering,Data Analytics and Geostatistics,,03 Data Analytics: Univariate Distributions,https://www.youtube.com/watch?v=TbqaMXdSV4I
4958,Petroleum Engineering,Data Analytics and Geostatistics,,04 Data Analytics: Univariate Statistics,https://www.youtube.com/watch?v=wAcbA2cIqec
4959,Petroleum Engineering,Data Analytics and Geostatistics,,04b Data Analytics Reboot: Statistical Expectation,https://www.youtube.com/watch?v=QVgMt3cPMmM
4960,Petroleum Engineering,Data Analytics and Geostatistics,,05 Data Analytics: Parametric Distributions,https://www.youtube.com/watch?v=U7fGsqCLPHU
4961,Petroleum Engineering,Data Analytics and Geostatistics,,05b Data Analytics: Monte Carlo Simulation,https://www.youtube.com/watch?v=Qb8TsSINpnU
4962,Petroleum Engineering,Data Analytics and Geostatistics,,05c Data Analytics: Distribution Transform,https://www.youtube.com/watch?v=ZDIpE3OkAIU
4963,Petroleum Engineering,Data Analytics and Geostatistics,,06 Data Analytics: Spatial Heterogeneity,https://www.youtube.com/watch?v=PG4fn8NPFGA
4964,Petroleum Engineering,Data Analytics and Geostatistics,,07 Data Analytics: Confidence Intervals,https://www.youtube.com/watch?v=oaXCcTWcU04
4965,Petroleum Engineering,Data Analytics and Geostatistics,,07b Data Analytics: Hypothesis Testing,https://www.youtube.com/watch?v=rvt9UM148tQ
4966,Petroleum Engineering,Data Analytics and Geostatistics,,07c Geostatistics Course: Confidence Intervals and Hypothesis Testing in R,https://www.youtube.com/watch?v=KJAgsYrq6r4
4967,Petroleum Engineering,Data Analytics and Geostatistics,,07d Data Analytics: Hypothesis Testing Take II,https://www.youtube.com/watch?v=xSFH6A0ZVSQ
4968,Petroleum Engineering,Data Analytics and Geostatistics,,07e Python Data Analytics: Hypothesis Testing Interactive,https://www.youtube.com/watch?v=bcb3m3LBtRk
4969,Petroleum Engineering,Data Analytics and Geostatistics,,08 Data Analytics: Correlation,https://www.youtube.com/watch?v=wZwYEDqB4A4
4970,Petroleum Engineering,Data Analytics and Geostatistics,,08b Data Analytics: Bootstrap,https://www.youtube.com/watch?v=wCgdoImlLY0
4971,Petroleum Engineering,Data Analytics and Geostatistics,,09 Data Analytics: Q-Q & P-P Plots,https://www.youtube.com/watch?v=RETZus4XBNM
4972,Petroleum Engineering,Data Analytics and Geostatistics,,09b Data Analytics: Linear Regression,https://www.youtube.com/watch?v=HzWq7pj2F_w
