Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4913,Petroleum Engineering,Formation Evaluation,200hrs 10min,"Introduction to Open Hole Logging, Dr. Moustafa Oraby",https://www.youtube.com/watch?v=xKIw7o2z_lw
4914,Petroleum Engineering,Formation Evaluation,,"Introduction to Open Hole Logging, Dr. Moustafa Oraby",https://www.youtube.com/watch?v=xKIw7o2z_lw
4915,Petroleum Engineering,Formation Evaluation,,Introduction to Open Hole Logging,https://www.youtube.com/watch?v=QD_ZXuMLK58
4916,Petroleum Engineering,Formation Evaluation,,"Well Logging Review by Dr. Moustafa Oraby, Summer Internship 2021, Lecture 02",https://www.youtube.com/watch?v=R_3GvBB8tPs
4917,Petroleum Engineering,Formation Evaluation,,Production Logging Tools (PLT) by Engineer/ Maria Leticia Vazquez (Schlumberger),https://www.youtube.com/watch?v=6Z0DHfDNM6U
4918,Petroleum Engineering,Formation Evaluation,,"Introduction to Open Hole Logging, Eng. Khaled Saleh, Schlumberger",https://www.youtube.com/watch?v=tZGAH0KlLuM
4919,Petroleum Engineering,Formation Evaluation,,"Reservoir Rock Properties and Basic Log Interpretation, Dr. Moustafa Oraby",https://www.youtube.com/watch?v=I-brBkAxBz8
4920,Petroleum Engineering,Formation Evaluation,,"Cased Hole Logging, Ms. Maria Vasquez",https://www.youtube.com/watch?v=QHFdP5cCkrM
4921,Petroleum Engineering,Formation Evaluation,,"Bond Log Basics & Interpretation, Eng. Kirk Harris, ThoroughBond LLC",https://www.youtube.com/watch?v=-PocL_dQY3A
4922,Petroleum Engineering,Formation Evaluation,,"Cement Evaluation: The Basics and Beyond, Engineer/ Kirk Harris, Lecture 01/04",https://www.youtube.com/watch?v=6SQmWHijFMM
4923,Petroleum Engineering,Formation Evaluation,,Shale Gas Evaluation and Development by Dr. Moustafa Oraby,https://www.youtube.com/watch?v=9MXoHGT7fSI
4924,Petroleum Engineering,Formation Evaluation,,"Introduction to Oil and Gas Industry, Dr. Moustafa Oraby",https://www.youtube.com/watch?v=5lOn2FAP9yQ
4925,Petroleum Engineering,Formation Evaluation,,"Q&A Session, Dr. Moustafa Oraby",https://www.youtube.com/watch?v=FPvDJAjaw50
