Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5093,Physical Education,Biomechanics,0hrs 347min,Biomechanics | Introduction | Prof. Varadhan | NPTEL | IIT MADRAS |,https://www.youtube.com/watch?v=fCqKhggM120
5094,Physical Education,Biomechanics,,"Introduction to forces - Resolving forces, principle of transmissibility",https://www.youtube.com/watch?v=YXuGB2Fd4Eg
5095,Physical Education,Biomechanics,,Statics FBD and EOE,https://www.youtube.com/watch?v=I4PUK8zOVos
5096,Physical Education,Biomechanics,,Example problems on FBD and EOE,https://www.youtube.com/watch?v=FyOAtifgmzA
5097,Physical Education,Biomechanics,,Machines and mechanical advantage,https://www.youtube.com/watch?v=04IBzpduF_c
5098,Physical Education,Biomechanics,,Levers and types of levers,https://www.youtube.com/watch?v=LphlKH95LR4
5099,Physical Education,Biomechanics,,Insertion point and torque,https://www.youtube.com/watch?v=UTdFcWfs1oQ
5100,Physical Education,Biomechanics,,Practics problem 1,https://www.youtube.com/watch?v=HJjr2aRd7qg
5101,Physical Education,Biomechanics,,Practics problem 2,https://www.youtube.com/watch?v=tt9c13Kx8l8
5102,Physical Education,Biomechanics,,Practice problem 1,https://www.youtube.com/watch?v=JmSPajBILJk
5103,Physical Education,Biomechanics,,Practice problem 2,https://www.youtube.com/watch?v=cYRVQ_3x_Ds
5104,Physical Education,Biomechanics,,Key terminologies,https://www.youtube.com/watch?v=-LtzbsAgMiw
5105,Physical Education,Biomechanics,,Anatomical planes and axis,https://www.youtube.com/watch?v=j1BbFCXhteU
5106,Physical Education,Biomechanics,,Muscle fibers- Pennation angle,https://www.youtube.com/watch?v=rDoqQa1G3bE
5107,Physical Education,Biomechanics,,Excitation contraction coupling,https://www.youtube.com/watch?v=qndS2x410eU
5108,Physical Education,Biomechanics,,More on pennation angle,https://www.youtube.com/watch?v=NDf-CSc3S6k
5109,Physical Education,Biomechanics,,Muscles - Muscle fascicles,https://www.youtube.com/watch?v=2xaf24V2RjM
5110,Physical Education,Biomechanics,,Transverse plane movements,https://www.youtube.com/watch?v=tErA_Gcg838
5111,Physical Education,Biomechanics,,Coronal plane movements,https://www.youtube.com/watch?v=RaLjB1DB-Co
5112,Physical Education,Biomechanics,,Sagittal plane movements,https://www.youtube.com/watch?v=dVCB1RSzU30
5113,Physical Education,Biomechanics,,Sliding filament theory,https://www.youtube.com/watch?v=9EWsf67nSmk
5114,Physical Education,Biomechanics,,Force length relationship,https://www.youtube.com/watch?v=wZmF5T46oAs
5115,Physical Education,Biomechanics,,Shoulder joints and muscles,https://www.youtube.com/watch?v=lErh2ZgdKqY
5116,Physical Education,Biomechanics,,Shoulder problem 1,https://www.youtube.com/watch?v=8V_YEas8rFA
5117,Physical Education,Biomechanics,,Shoulder problem 2,https://www.youtube.com/watch?v=fYcFbP1UULA
5118,Physical Education,Biomechanics,,Elbow theory,https://www.youtube.com/watch?v=7Vodl6yJ070
5119,Physical Education,Biomechanics,,Elbow problem 1,https://www.youtube.com/watch?v=lVVL60TF0gY
5120,Physical Education,Biomechanics,,Elbow problem 2,https://www.youtube.com/watch?v=LaJyIR63Pac
5121,Physical Education,Biomechanics,,Wrist theory,https://www.youtube.com/watch?v=dNxDvCjFHlE
5122,Physical Education,Biomechanics,,Finger theory,https://www.youtube.com/watch?v=57IbPK8aQDc
5123,Physical Education,Biomechanics,,Finger muscles,https://www.youtube.com/watch?v=L-6SBwj7dQo
5124,Physical Education,Biomechanics,,Spine anatomy and movements,https://www.youtube.com/watch?v=k8TThcN49OU
5125,Physical Education,Biomechanics,,Spine muscles,https://www.youtube.com/watch?v=Tbc9PrYkkJs
5126,Physical Education,Biomechanics,,Spine problem,https://www.youtube.com/watch?v=z9v9v9zcOGc
5127,Physical Education,Biomechanics,,Elbow problem 3,https://www.youtube.com/watch?v=OfNAuF9babI
5128,Physical Education,Biomechanics,,Hip anatomy and movements,https://www.youtube.com/watch?v=4h2wosQ16lE
5129,Physical Education,Biomechanics,,Hip muscles,https://www.youtube.com/watch?v=-_PQ0Gq-PKk
5130,Physical Education,Biomechanics,,Hip problem,https://www.youtube.com/watch?v=TkYasuCOKNo
5131,Physical Education,Biomechanics,,Ankle problem,https://www.youtube.com/watch?v=LNPrprcxPT4
5132,Physical Education,Biomechanics,,Ankle muscles,https://www.youtube.com/watch?v=6DSYHDaKkI0
5133,Physical Education,Biomechanics,,Ankle anatomy and movements,https://www.youtube.com/watch?v=uLaAky6xuME
5134,Physical Education,Biomechanics,,Knee problem,https://www.youtube.com/watch?v=E8G6WZXjvkE
5135,Physical Education,Biomechanics,,Knee muscles,https://www.youtube.com/watch?v=tjEKPSftdYE
5136,Physical Education,Biomechanics,,Knee anatomy and movements,https://www.youtube.com/watch?v=vN_mUXC_TmI
5137,Physical Education,Biomechanics,,Grasping- reaching- chains,https://www.youtube.com/watch?v=rYInPRi__lM
5138,Physical Education,Biomechanics,,"D.O.F mobility, open/closed chain",https://www.youtube.com/watch?v=KyqUHJNyp3Y
5139,Physical Education,Biomechanics,,Forward kinematics and workspace,https://www.youtube.com/watch?v=pd4mNLiXYuY
5140,Physical Education,Biomechanics,,2R inverse kinematics,https://www.youtube.com/watch?v=Ma2EC_5W5J8
5141,Physical Education,Biomechanics,,3R kinematics forward and inverse,https://www.youtube.com/watch?v=lEaFqk7R1rU
5142,Physical Education,Biomechanics,,D-H parameters,https://www.youtube.com/watch?v=daR9U1LxDZk
5143,Physical Education,Biomechanics,,Velocity and jacobian,https://www.youtube.com/watch?v=od0relMBj7M
5144,Physical Education,Biomechanics,,3R velocity,https://www.youtube.com/watch?v=RG91OX95wUo
5145,Physical Education,Biomechanics,,Grasping- reaching- chains,https://www.youtube.com/watch?v=1QaVaszE9MU
5146,Physical Education,Biomechanics,,Velocity and jacobian,https://www.youtube.com/watch?v=UrKWTE5YSDI
5147,Physical Education,Biomechanics,,Tissues and types of tissues,https://www.youtube.com/watch?v=YH4ajfuQSIM
