Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5489,Physical Education,Introduction To Sport Management,0hrs 1411min,"KINE 2314 - Sport Managment Fall, 2016: Intro and Syllabus",https://www.youtube.com/watch?v=1XSGguA13aw
5490,Physical Education,Introduction To Sport Management,,KINE 2314  - Fall 2016: Chapter One Lecture - History of Sport Management,https://www.youtube.com/watch?v=nmWo7IbzHJ4
5491,Physical Education,Introduction To Sport Management,,KINE 2314 - Fall 2016: Chapter Two Lecture - Management Principles Applied for Sport Management,https://www.youtube.com/watch?v=lx_cIvYYidM
5492,Physical Education,Introduction To Sport Management,,KINE 2314 - Fall 2016: Chapter Three Lecture - Marketing Principles Applied to Sport Management,https://www.youtube.com/watch?v=eTb2XXdvQ5A
5493,Physical Education,Introduction To Sport Management,,KINE 2413 - Chapter Four Lecture - Finance and Economics in Sport Management,https://www.youtube.com/watch?v=OxYXtfvBGyI
5494,Physical Education,Introduction To Sport Management,,KINE 2413 - Chapter Five Lecture - Legal Principles Applied to Sport Managment,https://www.youtube.com/watch?v=Chxr1W09NUI
5495,Physical Education,Introduction To Sport Management,,KINE 2314 - Fall 2016: Chapter Six Lecture - Ethical Principles Applied to Sport Management,https://www.youtube.com/watch?v=9gE6nwYMqUU
5496,Physical Education,Introduction To Sport Management,,Facility Management,https://www.youtube.com/watch?v=rJud9ZXhLE4
5497,Physical Education,Introduction To Sport Management,,KINE 2413 - Chapter 13 Lecture - Event Management,https://www.youtube.com/watch?v=Q9yYggqqO5o
5498,Physical Education,Introduction To Sport Management,,KINE 2413 - Chapter 14 and 15 Lecture - Sport Sales and Sport Sponsorship,https://www.youtube.com/watch?v=lKj0sr6pqIU
5499,Physical Education,Introduction To Sport Management,,Intellectual Property,https://www.youtube.com/watch?v=j0sG5Kc8DYo
5500,Physical Education,Introduction To Sport Management,,Intellectual Property Law Lecture,https://www.youtube.com/watch?v=dWRx_pXacc8
5501,Physical Education,Introduction To Sport Management,,Sports Violence,https://www.youtube.com/watch?v=8dnE9UiEji8
