Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1396,Political Science,Introduction to Political Philosophy with Steven B. Smith,92hrs 18min,1.  Introduction: What is Political Philosophy?,https://www.youtube.com/watch?v=xhm55mIdSuk
1397,Political Science,Introduction to Political Philosophy with Steven B. Smith,,2. Socratic Citizenship: Plato's Apology,https://www.youtube.com/watch?v=oFglU_ED4h0
1398,Political Science,Introduction to Political Philosophy with Steven B. Smith,,3. Socratic Citizenship: Plato's Crito,https://www.youtube.com/watch?v=PsRexM78_Vk
1399,Political Science,Introduction to Political Philosophy with Steven B. Smith,,"4. Philosophers and Kings: Plato's Republic, I-II",https://www.youtube.com/watch?v=nVQKbQVc2_w
1400,Political Science,Introduction to Political Philosophy with Steven B. Smith,,"5. Philosophers and Kings: Plato's Republic, III-IV",https://www.youtube.com/watch?v=2oxMP8_pWLw
1401,Political Science,Introduction to Political Philosophy with Steven B. Smith,,"6. Philosophers and Kings: Plato's Republic, V",https://www.youtube.com/watch?v=BXthvnZ8ghw
1402,Political Science,Introduction to Political Philosophy with Steven B. Smith,,"7. The Mixed Regime and the Rule of Law: Aristotle's Politics, I, III",https://www.youtube.com/watch?v=fy8lwIYCTMA
1403,Political Science,Introduction to Political Philosophy with Steven B. Smith,,"8. The Mixed Regime and the Rule of Law: Aristotle's Politics, IV",https://www.youtube.com/watch?v=f7qCDVkrbWk
1404,Political Science,Introduction to Political Philosophy with Steven B. Smith,,"9. The Mixed Regime and the Rule of Law: Aristotle's Politics, VII",https://www.youtube.com/watch?v=mKLkb4LDi5M
1405,Political Science,Introduction to Political Philosophy with Steven B. Smith,,10. New Modes and Orders: Machiavelli's The Prince (chaps. 1-12),https://www.youtube.com/watch?v=u2FANdhTDyI
1406,Political Science,Introduction to Political Philosophy with Steven B. Smith,,11. New Modes and Orders: Machiavelli's The Prince (chaps. 13-26),https://www.youtube.com/watch?v=bzMXZiR6P7U
1407,Political Science,Introduction to Political Philosophy with Steven B. Smith,,12. The Sovereign State: Hobbes' Leviathan,https://www.youtube.com/watch?v=Y3S1uqgGfB4
1408,Political Science,Introduction to Political Philosophy with Steven B. Smith,,13. The Sovereign State: Hobbes' Leviathan,https://www.youtube.com/watch?v=oE1eU4Ilgdo
1409,Political Science,Introduction to Political Philosophy with Steven B. Smith,,14. The Sovereign State: Hobbes' Leviathan,https://www.youtube.com/watch?v=lyZJ1lDULNw
1410,Political Science,Introduction to Political Philosophy with Steven B. Smith,,15. Constitutional Government: Locke's Second Treatise (1-5),https://www.youtube.com/watch?v=5JXgPDgXJC0
1411,Political Science,Introduction to Political Philosophy with Steven B. Smith,,16. Constitutional Government: Locke's Second Treatise (7-12),https://www.youtube.com/watch?v=MqCtmxHVoqY
1412,Political Science,Introduction to Political Philosophy with Steven B. Smith,,17. Constitutional Government: Locke's Second Treatise (13-19),https://www.youtube.com/watch?v=_zSQ4d1JtDg
1413,Political Science,Introduction to Political Philosophy with Steven B. Smith,,18. Democracy and Participation: Rousseau's Discourse,https://www.youtube.com/watch?v=HFY6Kvardnw
1414,Political Science,Introduction to Political Philosophy with Steven B. Smith,,19. Democracy and Participation: Rousseau's Discourse,https://www.youtube.com/watch?v=cb3Gd02QlB8
1415,Political Science,Introduction to Political Philosophy with Steven B. Smith,,"20. Democracy and Participation: Rousseau's Social Contract, I-II",https://www.youtube.com/watch?v=vPwx8-mFvUs
1416,Political Science,Introduction to Political Philosophy with Steven B. Smith,,21. Democratic Statecraft: Tocqueville's Democracy in America,https://www.youtube.com/watch?v=z6bfEOnLF5A
1417,Political Science,Introduction to Political Philosophy with Steven B. Smith,,22. Democratic Statecraft: Tocqueville's Democracy in America,https://www.youtube.com/watch?v=RtbZesUWMok
1418,Political Science,Introduction to Political Philosophy with Steven B. Smith,,23. Democratic Statecraft: Tocqueville's Democracy in America,https://www.youtube.com/watch?v=fMXpYEqn-0w
1419,Political Science,Introduction to Political Philosophy with Steven B. Smith,,24.  In Defense of Politics,https://www.youtube.com/watch?v=bqMLv9yLQmg
