Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1029,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),50hrs 2min,What is Anarchism? | Historical Overview of Anarchism | CGT in France | CNT in Spain | UPSC | PSIR,https://www.youtube.com/watch?v=YrPVRZfcRqM
1030,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,What is the FUTURE OF SOCIALISM? | Political Ideologies | UPSC | PSIR | Revival of Socialism,https://www.youtube.com/watch?v=Dp7FO8jwvT4
1031,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,What is Social Democracy? | Ethical and Reformist Socialism | Gradualism and Reformism | UPSC | PSIR,https://www.youtube.com/watch?v=X1XTKicjHHo
1032,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,Orthodox Communism vs Neo Marxism | Rise of Frankfurt School | Critical Theory | Communism | UPSC,https://www.youtube.com/watch?v=RnZlytOq-LM
1033,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,What is Communism? | Classical Marxism vs Early Socialism | Scientific Socialism | Marxism | UPSC,https://www.youtube.com/watch?v=IPse-rz9-u8
1034,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,How is COMMON OWNERSHIP different from COLLECTIVISM? | SOCIALISM vs COMMUNISM | UPSC,https://www.youtube.com/watch?v=TaA7GmEam9g
1035,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,Relevance of CLASS-LESS SOCIETY and STATE-LESS SOCIETY in 21st Century | Marx's Class Conflict,https://www.youtube.com/watch?v=uEz6TEIqE20
1036,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,Equality of Opportunity vs Equality of Outcomes | Socialism | Cooperation vs Competition | UPSC,https://www.youtube.com/watch?v=kBPO5HnUPgo
1037,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,Is SOCIETY important than INDIVIDUAL or vice versa? | Community | Collectivism | Socialism | UPSC,https://www.youtube.com/watch?v=2_NaPg-hDEc
1038,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,History of Socialism | Revolutionary Socialists (Bolsheviks) vs Social Democrats (Mensheviks) | UPSC,https://www.youtube.com/watch?v=IU7g0bvnbFg
1039,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,Paternalistic Conservatism | Rise of Christian Democracy | Future of Conservatism | UPSC | PSIR,https://www.youtube.com/watch?v=4cdH39SC8hc
1040,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,What is Authoritarian Conservatism? | Neoconservatism | Rise of Right-Wing Populism in the World,https://www.youtube.com/watch?v=Kn1lkD9IVw8
1041,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,"What is Libertarian Conservatism, Neoliberalism & Neoconservatism? | Failure of Keynesian Economics",https://www.youtube.com/watch?v=8KpxcxS15HE
1042,Political Science,POLITICAL IDEOLOGIES by Andrew Heywood (PSIR Optional and GS II),,Does Conservatism ensure Paternalism and Authoritarianism? | Role of Property in Conservatism,https://www.youtube.com/watch?v=Kf60HjiEkLM
