Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
7717,Project Management,Business Ethics & Corporate Governance,49hrs 19min,Business Ethics,https://www.youtube.com/watch?v=PTp08MeQCoU
7718,Project Management,Business Ethics & Corporate Governance,,Corporate Governance Models,https://www.youtube.com/watch?v=VZqgHcKBj90
7719,Project Management,Business Ethics & Corporate Governance,,Board of Directors,https://www.youtube.com/watch?v=QxQYccE9PL0
7720,Project Management,Business Ethics & Corporate Governance,,Stewardship Theory,https://www.youtube.com/watch?v=dx28fuD_D4w
7721,Project Management,Business Ethics & Corporate Governance,,Carroll's CSR Pyramid,https://www.youtube.com/watch?v=9V9oOZZ8ApA
7722,Project Management,Business Ethics & Corporate Governance,,Agency Theory,https://www.youtube.com/watch?v=4gAo7JnTmDc
7723,Project Management,Business Ethics & Corporate Governance,,Ethical Dilemma,https://www.youtube.com/watch?v=9PMx0o4WIcY
7724,Project Management,Business Ethics & Corporate Governance,,Trusteeship Theory,https://www.youtube.com/watch?v=ZuWG7TRDpyQ
7725,Project Management,Business Ethics & Corporate Governance,,Ackerman's CSR Model,https://www.youtube.com/watch?v=gmEPOXi78VE
7726,Project Management,Business Ethics & Corporate Governance,,Kohlberg's & Giligan's Theory,https://www.youtube.com/watch?v=Ng0q6bvVhNE
7727,Project Management,Business Ethics & Corporate Governance,,Whistle blower,https://www.youtube.com/watch?v=03cz6wYYEGU
7728,Project Management,Business Ethics & Corporate Governance,,SOX Act - Sarbanes Oxley Act,https://www.youtube.com/watch?v=ByBe7v7A0Sw
7729,Project Management,Business Ethics & Corporate Governance,,Corporate Governance Committee,https://www.youtube.com/watch?v=stFe_jbXv2w
