Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
6132,Psychology,CTET Child Development and Pedagogy Topics,0hrs 1677min,#CTET#Classes in తెలుగు#Topic#Concept of Development and its Relationship with Learning:వికాసం భావన#,https://www.youtube.com/watch?v=e3W7hRM0v2s
6133,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#in#Telugu#Develomental Stages#వికాస దశలు#Keshavarao#Psychlogy#Pedagogy#,https://www.youtube.com/watch?v=87l7rkFWtA8
6134,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#in#Telugu#Influence of Heredity and Environment#Child Development #Keshavarao#Psychology#Peda#,https://www.youtube.com/watch?v=GQcvovdDuts
6135,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#తెలుగులో#Principles of Development#వికాస సూత్రాలు#Child Development & Ped#Keshavarao#,https://www.youtube.com/watch?v=rB-Ngc9aMaU
6136,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#తెలుగులో#Child Development#Four ImportantTheories 4-6Marks#Keshavarao#Psychology#Peda#,https://www.youtube.com/watch?v=TayuG9ocuVA
6137,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Practice bits 3 Marks 3 Topics#Concept and Principles of Development#Heredity and Environment#,https://www.youtube.com/watch?v=bBKxXwKHRb4
6138,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes తెలుగులో#Piajet Theory of Cognitive Development Part 1#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=-G6XuLQQWM0
6139,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes in Telugu#Piaget Stages ofCognitiveDevelopment( Part2 )#Keshavarao#Psychology#Pedagog#,https://www.youtube.com/watch?v=v7KYrS4VBqY
6140,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#in#Telugu#Vygotsky Theory of Cognitive Development#Socio Cultural Constructivism#KSP#,https://www.youtube.com/watch?v=-gI8hRkSWMo
6141,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#తెలుగులో#Gardner's Theory of Multiple#Multi Demensional Intelligence#Keshavarao#Psy#,https://www.youtube.com/watch?v=mnHl7wLaWns
6142,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes తెలుగులో#Kohelberge's Theory of Moral Development#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=kgsrx51oRG4
6143,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Practice Questions on Kohlberg’s Theory #Keshavarao#Psychology #Pedagogy #,https://www.youtube.com/watch?v=wUdw_7HvCss
6144,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#తెలుగులో#Child Centered Progressive Education# Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=3-v7GYiCd40
6145,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Practice Questions from old CTET Papers #on Child Cantered Progressive Education#Keshavarao#,https://www.youtube.com/watch?v=UVg1YJq7vnI
6146,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#తెలుగులో#Socialisation Processes#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=CTcnl9AS5sU
6147,Psychology,CTET Child Development and Pedagogy Topics,,"#CTET#Question PaperJanuary 2021 Practice On 3 Theories Piajet, Vygotsky, Gardner#Keshavarao#Psy#",https://www.youtube.com/watch?v=EBaooN6Xvco
6148,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Questions Practice on Socialisation Processes#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=N1vuL3h8YBc
6149,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#తెలుగులో#Gender as Social#Construct#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=nwhHOC0huhA
6150,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#తెలుగులో#Gender as Social#Construct#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=nlrDDBwBzRU
6151,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Questions Practice on Gender as Social Construct#Gender Bias#Stereo Types#Keshavarao#Psycholog,https://www.youtube.com/watch?v=22-G3PaB5C8
6152,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Questions Practice#on Gender as Social Construct#Gender Stereo Types#Gender Bias#Keshavarao#,https://www.youtube.com/watch?v=wpXJKb5nQVs
6153,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes తెలుగులో#Assessment of Learning #Assessment for Learning#CCE#Keshavarao#Psychology#Ped,https://www.youtube.com/watch?v=8EiV_lJLOlw
6154,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Questions Practice#on Assessment of Learning#Assessment for Learning&CCE #Keshavarao#Psychlogy,https://www.youtube.com/watch?v=AWqUeZYIlHc
6155,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes తెలుగులో#3Topics 5Marks#Inclsive Education#Children with Special needs#Keshavarao#Psy#,https://www.youtube.com/watch?v=UJ-UJJbB2eQ
6156,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Questions Practice on 3Topics 5Marks#Inclusive Education and Children with Special Needs#Kesha,https://www.youtube.com/watch?v=XVJbJLUL-1c
6157,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes తెలుగులో#Inclusive Education#Topic:Addressing needs of Divers Background#Keshavarao#Ps,https://www.youtube.com/watch?v=2KVQCUOWt_I
6158,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes తెలుగులో #Inclusive Education#Adressing needs of Creative and Talented Children#Keshav,https://www.youtube.com/watch?v=BcWKaF_bq5w
6159,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Gifted Children#Inclusive Education#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=UltEt8Rgevc
6160,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#Gifted Children#Inclusive Education - 4#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=Tcy9pnt6Yus
6161,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#Learning Difficulties and#Other#Impairments#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=WXAlZrVR0-s
6162,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#Motivation and Learning#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=ohW7yQ7b93Q
6163,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Questions Practice on Motivation#psychology and#Learning#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=t0E3IpdWa4g
6164,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#Basic Processes of Teaching#and#Learning#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=zmUpjFtPIvA
6165,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#How Children Learn?#Basic Processes of Learning#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=Vn3xRn-1K1s
6166,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#Prosesses of Teachings#Teaching for Knowledge Construction#Cognitive Devlp#Keshavarao#,https://www.youtube.com/watch?v=jR01xXv_kCo
6167,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Qustions Practice#On Processes of Learning and Teaching#Keshavarao#Psychology#Pedagogy #,https://www.youtube.com/watch?v=LrsILbjmqWY
6168,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#CDP#Child as a Problom Solver and Scientific Investigator#Keshavarao#Psychology#Pedago,https://www.youtube.com/watch?v=KqSFR5Fh9rE
6169,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes in Telugu #CDP#Factors  Contributing#Learning#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=IYpypHk4bqk
6170,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Classes#NCF 2005#2-5Marks,https://www.youtube.com/watch?v=bcbEq5yA7fI
6171,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Questions Practice on#NCF 2005#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=SludjiPp5wY
6172,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Paper1#CDP#Jan2021#CDP#30Questions#Practice#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=fiFlCYDNVEQ
6173,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#PYQ#CDP#Questions Practice#20 Questions 20 Marks#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=S5-9dU2iafc
6174,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Jan2021 Paper 2#Questions Practice#10Bits#10MarksKeshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=sgR3wIZpHtk
6175,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#July 2019#Paper 1#Questions Practice#30Questions30Marks#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=aGm0Pxfkfak
6176,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#CDP#Paper2#Dec.2019#Questions Practice#15Bits15Marks#Practice for Paper1&Paper2#Keshavarao#Psy,https://www.youtube.com/watch?v=SVRNcGWebXU
6177,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#CDP#Paper 2#Dec 2019 Questions Practice#Please Practice Paper1Students also#Keshavarao#Psychlo,https://www.youtube.com/watch?v=8u_nviS5vAY
6178,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#CDP#Paper 2#July 2019#Part1 #Questions#Practice#7Questions7Marks#,https://www.youtube.com/watch?v=E5rDBZ47KEM
6179,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#CDP#July 2019 Paper 2# Part - 2 Questions#Practice#12Questions12Marks#Keshavarao#Psychology#Pe,https://www.youtube.com/watch?v=TNSw_3MJF-U
6180,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#CDP#Paper-3#July2019 Questions#Practice#10Questions10Marks#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=gteo8nd5uFY
6181,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Portfolio#Anecdotal Record#CCE#Formative Summative Dionostic Evaluation#3- 4Marks#Keshavarao#,https://www.youtube.com/watch?v=6WOc9PeIEuw
6182,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#RTE - 2009#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=URMcb9UFQr4
6183,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#NEP - 2020#National Educational Policy#2020#Keshavarao Psycology#Pedagogy#,https://www.youtube.com/watch?v=GBpYeA3H6n8
6184,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#Paper1#CDP#ఈరోజు 21.12.2021 Paper ఎలా వచ్చింది? ఏమి Questions అడిగారు ?Keshavarao#Psychology#,https://www.youtube.com/watch?v=P3LwmujrrzE
6185,Psychology,CTET Child Development and Pedagogy Topics,,#CTET#లో అడుగుతున్న Abbriviations#Keshavarao#Psychology#Pedagogy#,https://www.youtube.com/watch?v=-YG1GV8fPQo
