Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
13114,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,121hrs 15min,How To Plan Your Life For Success & Handle Change P1: Dr. Myles Munroe's Strategy | MunroeGlobal.com,https://www.youtube.com/watch?v=f7BIIqUuL6Y
13115,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,How To Plan Your Life For Success & Handle Change P1: Dr. Myles Munroe's Strategy | MunroeGlobal.com,https://www.youtube.com/watch?v=f7BIIqUuL6Y
13116,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,How To Overcome Crisis: Dr. Myles Munroe's Guide On Resilience & Success | MunroeGlobal.com,https://www.youtube.com/watch?v=a167Vg3WlqA
13117,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,How To Strengthen Your Faith: Key Lessons From Dr. Myles Munroe | MunroeGlobal.com,https://www.youtube.com/watch?v=QQFk9jErb9k
13118,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,10 Essential Time Management Strategies By Dr. Myles Munroe | MunroeGlobal.com,https://www.youtube.com/watch?v=kwt9fSj8OYo
13119,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,Key Life Principles You Should Never Change - Dr. Myles Munroe | MunroeGlobal.com,https://www.youtube.com/watch?v=eByidZQwfPM
13120,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,Thrive In Crisis: Dr. Myles Munroe's Timeless Kingdom Strategies | MunroeGlobal.com,https://www.youtube.com/watch?v=oRp1ufyJNxA
13121,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,Kingdom Keys To Thriving In Times of Crisis Part 1 | Dr. Myles Munroe,https://www.youtube.com/watch?v=Z9yageR96HA
13122,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Seven Principles For Planning Change Part 1 | Dr. Myles Munroe,https://www.youtube.com/watch?v=4sLsec2KDds
13123,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Power of Planning and Change Part 2 | Dr. Myles Munroe,https://www.youtube.com/watch?v=KNGcuXFdSKA
13124,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Seven Power Keys For Planning Change | Dr. Myles Munroe,https://www.youtube.com/watch?v=b3josPeXvOw
13125,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The 4 Kingdom Laws For Overcoming Crisis | Dr. Myles Munroe,https://www.youtube.com/watch?v=JkypuyT5VGI
13126,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Key To Benefitting From Crisis | Dr. Myles Munroe,https://www.youtube.com/watch?v=XP_sI7b25o8
13127,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Danger of Uncontrolled Change | Dr. Myles Munroe,https://www.youtube.com/watch?v=EJiVU-Cc0vc
13128,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Kingdom Power and Principle of Management | Dr. Myles Munroe,https://www.youtube.com/watch?v=x0nZ2BBiCKw
13129,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Power of Planning and Change Part 3 | Dr. Myles Munroe,https://www.youtube.com/watch?v=EKm_YKyr-AE
13130,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,The Seven Principles For Planning Change Part 2 | Dr. Myles Munroe,https://www.youtube.com/watch?v=bcaXHEBT2o4
13131,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,Kingdom Keys To Insulating Yourself In Times of Crisis | Dr. Myles Munroe,https://www.youtube.com/watch?v=vFEeriOWdUI
13132,Public Administration,Crisis Management Teachings By Dr. Myles Munroe,,How To Live Effectively In Time | Dr. Myles Munroe,https://www.youtube.com/watch?v=lqrSLgDiXbI
