Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12807,Public Administration,Governmental Accounting,1788hrs 9min,Governmental Accounting - Fund Accounting,https://www.youtube.com/watch?v=YhGuf1znde4
12808,Public Administration,Governmental Accounting,,Governmental Accounting vs Not-For-Profit Accounting,https://www.youtube.com/watch?v=IZ7ARW39FkE
12809,Public Administration,Governmental Accounting,,Does Non-Profit Mean Money Does Not Matter?,https://www.youtube.com/watch?v=F99gvcPpXOo
12810,Public Administration,Governmental Accounting,,Estimated Revenues & Expenditures - Governmental Accounting,https://www.youtube.com/watch?v=fi1LYjtgsDc
12811,Public Administration,Governmental Accounting,,Encumbrances - Governmental Accounting,https://www.youtube.com/watch?v=4ACYPqd3Ub4
12812,Public Administration,Governmental Accounting,,Encumbrances & Expenditures - Governmental Accounting,https://www.youtube.com/watch?v=8RukPIaipdw
12813,Public Administration,Governmental Accounting,,Deferred Inflows & Delinquent Receivables - Governmental Accounting,https://www.youtube.com/watch?v=_awZnPcAKks
12814,Public Administration,Governmental Accounting,,Revenue General Fund & Government-Wide - Governmental Accounting,https://www.youtube.com/watch?v=qnGFmcAK-00
12815,Public Administration,Governmental Accounting,,Tax Anticipation Note - Governmental Accounting,https://www.youtube.com/watch?v=jTRz5Bvx7R4
12816,Public Administration,Governmental Accounting,,Closing Entries General Fund - Governmental Accounting,https://www.youtube.com/watch?v=Ap0qu3MpqlU
12817,Public Administration,Governmental Accounting,,General Fund & Government-Wide Activity - Governmental Accounting,https://www.youtube.com/watch?v=8d2usUPCNVM
12818,Public Administration,Governmental Accounting,,Subsidiary Ledgers  Revenue & Estimated Revenue - Governmental Accounting,https://www.youtube.com/watch?v=KAv2wd0iYyU
12819,Public Administration,Governmental Accounting,,"Subsidiary Ledgers Appropriations, Expenditures, & Encumbrances - Governmental Accounting",https://www.youtube.com/watch?v=utWeA07phUg
12820,Public Administration,Governmental Accounting,,Supplies Inventory Consumption Method - Governmental Accounting,https://www.youtube.com/watch?v=fTtuAywGOhQ
