Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12520,Public Administration,Public Finance (Graduation),9hrs 5min,Public Finance | Meaning Of Public Finance | Definition Of Public Finance | Economics | CUET UGC NET,https://www.youtube.com/watch?v=G6mYbeCDX94
12521,Public Administration,Public Finance (Graduation),,Public Finance | Scope Of Public Finance | Subject Matter Of Public Finance | Economics | UPSC CUET,https://www.youtube.com/watch?v=1RJRLJpYGLk
12522,Public Administration,Public Finance (Graduation),,Public Finance Vs Private Finance | Public Finance | Private Finance | Economics | Macroeconomics,https://www.youtube.com/watch?v=cisO5DVaKgw
12523,Public Administration,Public Finance (Graduation),,Public Finance | Nature Of Public Finance | Characteristics Of Public Finance | Economics | CUET UGC,https://www.youtube.com/watch?v=aAFddZx97yE
12524,Public Administration,Public Finance (Graduation),,Principle Of Maximum Social Advantage | Dalton | Pigou | Musgrave | Public Finance | Economics | UGC,https://www.youtube.com/watch?v=eDDZvSbJfO4
12525,Public Administration,Public Finance (Graduation),,Maximum Social Advantage | Importance Of The Principle Of Maximum Social Advantage | Economics | UGC,https://www.youtube.com/watch?v=sbFtWC0SWNg
12526,Public Administration,Public Finance (Graduation),,Maximum Social Advantage | Limitations Of The Principle Of Maximum Social Advantage | Economics UGC,https://www.youtube.com/watch?v=Tc-xlzV-53U
12527,Public Administration,Public Finance (Graduation),,Public Expenditure - Meaning,https://www.youtube.com/watch?v=xv6MkihR1yk
12528,Public Administration,Public Finance (Graduation),,Revenue Expenditure,https://www.youtube.com/watch?v=sQgOkf7-jRw
12529,Public Administration,Public Finance (Graduation),,Capital Expenditure,https://www.youtube.com/watch?v=pqQzEmTkonk
12530,Public Administration,Public Finance (Graduation),,Development Expenditure Or Productive Expenditure,https://www.youtube.com/watch?v=hRaprhyj-KY
12531,Public Administration,Public Finance (Graduation),,Non-development Expenditure Or Unproductive Expenditure,https://www.youtube.com/watch?v=dRXLZrcknVw
12532,Public Administration,Public Finance (Graduation),,Planned Expenditure,https://www.youtube.com/watch?v=kTo-Nlc0Wjg
12533,Public Administration,Public Finance (Graduation),,Non-plan Expenditure,https://www.youtube.com/watch?v=XDTNxsOwv48
12534,Public Administration,Public Finance (Graduation),,Transferable Public Expenditure,https://www.youtube.com/watch?v=iGahK8DfbMg
12535,Public Administration,Public Finance (Graduation),,Non-transferable Public Expenditure,https://www.youtube.com/watch?v=3-JiDmlkfU8
12536,Public Administration,Public Finance (Graduation),,Current Expenditure,https://www.youtube.com/watch?v=NhWOxPxIz-M
12537,Public Administration,Public Finance (Graduation),,Primary Expenditure,https://www.youtube.com/watch?v=Zvn9f6_KWII
12538,Public Administration,Public Finance (Graduation),,Secondary Expenditure,https://www.youtube.com/watch?v=Kmuu4WQTIzg
12539,Public Administration,Public Finance (Graduation),,Progressive Public Expenditure,https://www.youtube.com/watch?v=oqYPgfRk06Q
