Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12496,Public Administration,Public Policy and Analysis,51hrs 23min,S03 2549,https://www.youtube.com/watch?v=FgPCiwCno3Y
12497,Public Administration,Public Policy and Analysis,,Environmental Constituents of public policy making,https://www.youtube.com/watch?v=ojGHX74bCjA
12498,Public Administration,Public Policy and Analysis,,Problems of sound policy making in developing societies,https://www.youtube.com/watch?v=oNt6hX5MNWc
12499,Public Administration,Public Policy and Analysis,,"Public Policy-Impact, Compliance and Non-compliance",https://www.youtube.com/watch?v=JzAmjwms824
12500,Public Administration,Public Policy and Analysis,,Administrative System of United States (CH-03),https://www.youtube.com/watch?v=HepCMUUTfzY
12501,Public Administration,Public Policy and Analysis,,Types of Public Policy evaluation (CH-03),https://www.youtube.com/watch?v=MRXhfnKfr9g
12502,Public Administration,Public Policy and Analysis,,Policy evolution process in India and USA (CH-03),https://www.youtube.com/watch?v=uoVDZYShZ10
12503,Public Administration,Public Policy and Analysis,,Nature and scope of comparative public Administration (CH-03),https://www.youtube.com/watch?v=QDBA4qs6mk4
12504,Public Administration,Public Policy and Analysis,,"Meaning, basis and rationale of public policy - Part A",https://www.youtube.com/watch?v=bXln_Qpgyq8
12505,Public Administration,Public Policy and Analysis,,"Meaning, basis and rationale of public policy - Part B",https://www.youtube.com/watch?v=QMECQZKiKI4
12506,Public Administration,Public Policy and Analysis,,Objective and types of public policy,https://www.youtube.com/watch?v=Wb2jAbNzePg
12507,Public Administration,Public Policy and Analysis,,Theories of policy analysis - Concept of methodology and model,https://www.youtube.com/watch?v=-ngA0AKmGqg
12508,Public Administration,Public Policy and Analysis,,Theories of policy analysis-Theoretical pproaches - Part A,https://www.youtube.com/watch?v=avCaZ5UKdKE
12509,Public Administration,Public Policy and Analysis,,"Public Policy- Features, Perspective and methods",https://www.youtube.com/watch?v=1hjDj6mrsJ0
12510,Public Administration,Public Policy and Analysis,,Theories of policy analysis- Theoretical approaches - Part B,https://www.youtube.com/watch?v=GvZOIH8n04o
12511,Public Administration,Public Policy and Analysis,,"Models of policy analysis-Incremental, group and institutional",https://www.youtube.com/watch?v=imu5lbNxcUk
12512,Public Administration,Public Policy and Analysis,,Policy Implementation- Agencies and problems,https://www.youtube.com/watch?v=aCwyTjhGyso
12513,Public Administration,Public Policy and Analysis,,"Public policy-Alternatives, Choices and decision criteria",https://www.youtube.com/watch?v=xyCknLjbd-0
12514,Public Administration,Public Policy and Analysis,,Levels of public policies formation - Part A,https://www.youtube.com/watch?v=orse9ovPkHY
12515,Public Administration,Public Policy and Analysis,,Levels of public policies formation - Part B,https://www.youtube.com/watch?v=kdoPiouv3gk
12516,Public Administration,Public Policy and Analysis,,Public policy Formulation-Official and Non-official participants,https://www.youtube.com/watch?v=QBm2mQy9Xco
12517,Public Administration,Public Policy and Analysis,,"Public policy-Problems,proposals and agenda - Part A",https://www.youtube.com/watch?v=M-CAWNLUr8g
12518,Public Administration,Public Policy and Analysis,,Public Policy and Governance,https://www.youtube.com/watch?v=4alZJTfpr34
12519,Public Administration,Public Policy and Analysis,,Public Policy and Governance,https://www.youtube.com/watch?v=BEUJMET7mkw
