Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12653,Public Administration,Public Sector Human Resource Management,12hrs 19min,Just Cause Discipline,https://www.youtube.com/watch?v=5EajkfSVJ5o
12654,Public Administration,Public Sector Human Resource Management,,Minnesota Public Employer Labor Relations Act Basics,https://www.youtube.com/watch?v=catVGxNezC4
12655,Public Administration,Public Sector Human Resource Management,,Minnesota Bureau of Mediation Services,https://www.youtube.com/watch?v=tfBzCPlbVWY
12656,Public Administration,Public Sector Human Resource Management,,Public Employee Retirement Association (PERA),https://www.youtube.com/watch?v=-Ytdx-I2yO8
12657,Public Administration,Public Sector Human Resource Management,,Union Contracts,https://www.youtube.com/watch?v=UCfE0l_32lM
12658,Public Administration,Public Sector Human Resource Management,,Veterans Preference,https://www.youtube.com/watch?v=wUt6JAqres0
12659,Public Administration,Public Sector Human Resource Management,,Data Practices,https://www.youtube.com/watch?v=B1_CRaMKupI
12660,Public Administration,Public Sector Human Resource Management,,Salary Cap,https://www.youtube.com/watch?v=x3P0cz38ALM
12661,Public Administration,Public Sector Human Resource Management,,Administering Union Contracts,https://www.youtube.com/watch?v=i-BSforBtp8
12662,Public Administration,Public Sector Human Resource Management,,Garrity Warning,https://www.youtube.com/watch?v=qOhnG2i2Ydc
12663,Public Administration,Public Sector Human Resource Management,,Employment at Will,https://www.youtube.com/watch?v=ogUZYdkhEyU
12664,Public Administration,Public Sector Human Resource Management,,Greivance,https://www.youtube.com/watch?v=ayA3HWxrlRI
12665,Public Administration,Public Sector Human Resource Management,,Pay Equity,https://www.youtube.com/watch?v=0S3uc03eCJw
12666,Public Administration,Public Sector Human Resource Management,,Interest Arbitration,https://www.youtube.com/watch?v=Ax2nWPxf6Jo
12667,Public Administration,Public Sector Human Resource Management,,Mediation,https://www.youtube.com/watch?v=6rf31xco8gw
12668,Public Administration,Public Sector Human Resource Management,,Memorandum of Understanding,https://www.youtube.com/watch?v=P4kjMHM0Nqo
12669,Public Administration,Public Sector Human Resource Management,,Peace Officer Bill of Rights,https://www.youtube.com/watch?v=S99HnisYZZk
12670,Public Administration,Public Sector Human Resource Management,,Management Rights,https://www.youtube.com/watch?v=3ZYu4I7kQi4
12671,Public Administration,Public Sector Human Resource Management,,Negotiating Wages and Benefits,https://www.youtube.com/watch?v=f5Uv_EP5csg
12672,Public Administration,Public Sector Human Resource Management,,Tennessen Warning,https://www.youtube.com/watch?v=ncaeWQ_WzjM
12673,Public Administration,Public Sector Human Resource Management,,Union Contract Negotiation,https://www.youtube.com/watch?v=d4G6GO7CzvQ
12674,Public Administration,Public Sector Human Resource Management,,Union Organizing and Certification,https://www.youtube.com/watch?v=OKRxtWqY8dE
12675,Public Administration,Public Sector Human Resource Management,,Union Strikes,https://www.youtube.com/watch?v=9jvrpUk4Npg
12676,Public Administration,Public Sector Human Resource Management,,Workers Compensation,https://www.youtube.com/watch?v=Cm4sAEZqHq0
12677,Public Administration,Public Sector Human Resource Management,,Workplace Investigations,https://www.youtube.com/watch?v=iRT96YJJUyc
12678,Public Administration,Public Sector Human Resource Management,,Layoffs,https://www.youtube.com/watch?v=Hh53K7fQfYc
12679,Public Administration,Public Sector Human Resource Management,,Drug and Alcohol Policy,https://www.youtube.com/watch?v=CHJN4DnQga0
12680,Public Administration,Public Sector Human Resource Management,,Leave Administration,https://www.youtube.com/watch?v=AGxoBzUgXYs
12681,Public Administration,Public Sector Human Resource Management,,Minimum Wage,https://www.youtube.com/watch?v=ffFI9ubHvAQ
12682,Public Administration,Public Sector Human Resource Management,,Overtime,https://www.youtube.com/watch?v=t_PCPP9fSlc
12683,Public Administration,Public Sector Human Resource Management,,Termination Agreements,https://www.youtube.com/watch?v=9T-_pgUL-3k
