Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
8793,Real Estate,Technology in Real Estate,1hrs 8min,Will AI Replace Real Estate Professionals? Pt.2 #ai,https://www.youtube.com/watch?v=Fv_lBLvYx7o
8794,Real Estate,Technology in Real Estate,,Will AI Replace Real Estate Professionals? Pt.1 #ai,https://www.youtube.com/watch?v=myJ3Zg1cevA
8795,Real Estate,Technology in Real Estate,,3 Proven Tactics to Grow Your Business in Real Estate #marketing,https://www.youtube.com/watch?v=D_dcrC9zZAk
8796,Real Estate,Technology in Real Estate,,"AI's Influence on the Future of Commercial Real Estate, Explained",https://www.youtube.com/watch?v=OiWNFiDzYYU
8797,Real Estate,Technology in Real Estate,,Office Sharing Platform Like WeWork Can't Survive #wework #realestate,https://www.youtube.com/watch?v=Gfw9YUmV11E
8798,Real Estate,Technology in Real Estate,,The Most Challenging...and EXCITING Client: Working With Skyports,https://www.youtube.com/watch?v=VFw3UiNHAdg
8799,Real Estate,Technology in Real Estate,,Simple Trick to Avoid Lawsuits and Get Website ADA Compliant #webdevelopment,https://www.youtube.com/watch?v=Ejg61Vt-Hi8
8800,Real Estate,Technology in Real Estate,,Tips to Make Your Website ADA Compliant: Don't Get Sued! #webdevelopment,https://www.youtube.com/watch?v=ngo41SckPJU
8801,Real Estate,Technology in Real Estate,,How to Run Your Social Media Video Campaign #marketing,https://www.youtube.com/watch?v=hSsWxwArBI0
8802,Real Estate,Technology in Real Estate,,Avoiding Legal Pitfalls: How to Make Your Website ADA Compliant,https://www.youtube.com/watch?v=H0HJCd2_zyo
8803,Real Estate,Technology in Real Estate,,Navigating High-Profile Real Estate Clients: Representing Elon Musk - The Boring Company,https://www.youtube.com/watch?v=MinXzk1_2Pg
8804,Real Estate,Technology in Real Estate,,"How 3D Printing is Transforming Labor, Material, and Time in Building Projects",https://www.youtube.com/watch?v=Mn-jsOCtoAw
8805,Real Estate,Technology in Real Estate,,The Social Media Revolution in Commercial Real Estate: What You Need to Know,https://www.youtube.com/watch?v=odgiec2hmdU
8806,Real Estate,Technology in Real Estate,,Grow Your Real Estate Business: Mastering Analytics for Effective Property Marketing,https://www.youtube.com/watch?v=rxWJSHsk7FU
8807,Real Estate,Technology in Real Estate,,Branding in the Digital Age: Tips for Building an Online Presence,https://www.youtube.com/watch?v=jUo6_aGdc9w
8808,Real Estate,Technology in Real Estate,,Get Ahead of the Game: Learn from Top Performing Brokers at CRE Influencers Summit,https://www.youtube.com/watch?v=hFAMHI67Nm8
8809,Real Estate,Technology in Real Estate,,The Importance of a Strong Online Profile: How it Can Help You Stand Out,https://www.youtube.com/watch?v=MRgXz6dJJcE
8810,Real Estate,Technology in Real Estate,,How To Set Up Your Linkedin Profile To Generate More Business,https://www.youtube.com/watch?v=ikLdXr6V-j0
8811,Real Estate,Technology in Real Estate,,How to Lease Your Commercial Real Estate Quicker With Less Cost: Josh Feinberg CEO of OTSO,https://www.youtube.com/watch?v=ADsLF8zZeW4
8812,Real Estate,Technology in Real Estate,,"How Social Media Is Changing the Commercial Real Estate Industry: Jay Olshonsky, CEO of NAI Global",https://www.youtube.com/watch?v=sp2W3fNPRsI
8813,Real Estate,Technology in Real Estate,,Here’s How Real Estate Is Performing Currently In The Metaverse- Kristi Waterworth,https://www.youtube.com/watch?v=fjW_AVQgXZs
8814,Real Estate,Technology in Real Estate,,Learn How To Invest In Metaverse Real Estate: Explained,https://www.youtube.com/watch?v=zzItxZHCJkU
8815,Real Estate,Technology in Real Estate,,What is The Future of AI in Commercial Real Estate: Kyle Inserra,https://www.youtube.com/watch?v=B3KA9MPr_FQ
8816,Real Estate,Technology in Real Estate,,The Ultimate Guide To A Successful Podcast: Featuring Michael Bull,https://www.youtube.com/watch?v=j4nfWGonotg
8817,Real Estate,Technology in Real Estate,,How New Technology like Knotel can Impact Office Leasing,https://www.youtube.com/watch?v=fuGvzrhJ5vw
