Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5266,Renewable Energy,Bioenergy,69hrs 23min,Introduction,https://www.youtube.com/watch?v=fR0chD3Ob1M
5267,Renewable Energy,Bioenergy,,Oil Economy of the World,https://www.youtube.com/watch?v=OK7v8uaKlqc
5268,Renewable Energy,Bioenergy,,Unit of Energy and Introduction of Bioenergy,https://www.youtube.com/watch?v=7U5D2mISHGE
5269,Renewable Energy,Bioenergy,,How Biomass Formed on the Earth,https://www.youtube.com/watch?v=lF5Rb-iR0wg
5270,Renewable Energy,Bioenergy,,Road Map of Bioenergy,https://www.youtube.com/watch?v=dz712gS7CLo
5271,Renewable Energy,Bioenergy,,Basic Biomass Technology (Resources and Production),https://www.youtube.com/watch?v=_OQtT4yhhWc
5272,Renewable Energy,Bioenergy,,Basics of Mechanism of Light Reaction,https://www.youtube.com/watch?v=S-bswIeJV_8
5273,Renewable Energy,Bioenergy,,Exploration of Photosynthesis Process,https://www.youtube.com/watch?v=k3Phl8Md5pA
5274,Renewable Energy,Bioenergy,,In Photosynthesis Oxygen Comes from Water Molecule,https://www.youtube.com/watch?v=M2xm7-e4UqQ
5275,Renewable Energy,Bioenergy,,Hill Reaction,https://www.youtube.com/watch?v=fGD1YO4RPnQ
5276,Renewable Energy,Bioenergy,,Electron Transport Process in Light Reaction,https://www.youtube.com/watch?v=nU_yyoZLJ5A
5277,Renewable Energy,Bioenergy,,How Carbon dioxide converted in Carbohydrate,https://www.youtube.com/watch?v=SJaUOnKhTkE
5278,Renewable Energy,Bioenergy,,From Carbon dioxide to two Molecules of 3 - Phospho Glycerate by RUBISCO,https://www.youtube.com/watch?v=fvSYj-cDHlI
5279,Renewable Energy,Bioenergy,,RUBISCO enzyme,https://www.youtube.com/watch?v=E-PdauA7z3o
5280,Renewable Energy,Bioenergy,,Photo respiration and Calvin Cycle,https://www.youtube.com/watch?v=ckWJmyG9cjs
5281,Renewable Energy,Bioenergy,,Efficiency Calculation of Photosynthesis Process,https://www.youtube.com/watch?v=lLm3hi_Elos
5282,Renewable Energy,Bioenergy,,C3 & C4 Plant Structure and Photosynthesis Process,https://www.youtube.com/watch?v=rTMRdV5GEBQ
5283,Renewable Energy,Bioenergy,,Biomass production System and their Categorization,https://www.youtube.com/watch?v=04r4eW1si3k
5284,Renewable Energy,Bioenergy,,Important Parameters for Selecting Biomass Crops,https://www.youtube.com/watch?v=U2GOhGkV2fs
5285,Renewable Energy,Bioenergy,,Factors Determining the Conversion Process - I,https://www.youtube.com/watch?v=lduskbv2KaU
5286,Renewable Energy,Bioenergy,,Factors Determining the Conversion Process - II,https://www.youtube.com/watch?v=1cVnUqaMI0g
5287,Renewable Energy,Bioenergy,,Factors Determining the Conversion Process - III,https://www.youtube.com/watch?v=BZhv9gPNg9U
5288,Renewable Energy,Bioenergy,,Conversion Technology,https://www.youtube.com/watch?v=Uo-6AjCpKJ4
5289,Renewable Energy,Bioenergy,,Conversion Process- (Combustion Process),https://www.youtube.com/watch?v=EhkUwq6dafY
5290,Renewable Energy,Bioenergy,,Pyrolysis Process,https://www.youtube.com/watch?v=3v3UYaHRB6c
5291,Renewable Energy,Bioenergy,,Classification of Pyrolysis,https://www.youtube.com/watch?v=c2KIGZCT2Ck
5292,Renewable Energy,Bioenergy,,Bio Oil - (Solution for Thermal Instability and Corrosivity),https://www.youtube.com/watch?v=CjHb-cMdKXk
5293,Renewable Energy,Bioenergy,,Spark Ignition Engine,https://www.youtube.com/watch?v=ch9-VrY_nig
5294,Renewable Energy,Bioenergy,,Compression Ignition Engine,https://www.youtube.com/watch?v=H28bE6gf5qQ
5295,Renewable Energy,Bioenergy,,Carbonization - Graphene like material,https://www.youtube.com/watch?v=AfS2svYJR6Y
5296,Renewable Energy,Bioenergy,,Introduction of Gasification,https://www.youtube.com/watch?v=zj76jhqzDE8
5297,Renewable Energy,Bioenergy,,Thermo Chemical Process of Gasification,https://www.youtube.com/watch?v=KENDDXJL2GE
5298,Renewable Energy,Bioenergy,,Feed Stock Treatment of Gasification,https://www.youtube.com/watch?v=YxUNPELdm_s
5299,Renewable Energy,Bioenergy,,Feed Stock Property,https://www.youtube.com/watch?v=x55bKriDaB0
5300,Renewable Energy,Bioenergy,,Gasification Types - Up Drift Gasifier,https://www.youtube.com/watch?v=QC38SaZtIls
5301,Renewable Energy,Bioenergy,,Down drift and Cross Flow Gasifier,https://www.youtube.com/watch?v=OgeHuy1Rx5U
5302,Renewable Energy,Bioenergy,,Operation and Performance of Fixed Bed Gasifier,https://www.youtube.com/watch?v=Q6cZutBM3MI
5303,Renewable Energy,Bioenergy,,Fludized Bed Gasification,https://www.youtube.com/watch?v=yXqx4AaZiKc
5304,Renewable Energy,Bioenergy,,Operation and Performance of Fluidized Bed Gasifier,https://www.youtube.com/watch?v=HcZ8HHnOVeM
5305,Renewable Energy,Bioenergy,,Biological Root of Gasification and Summary of Course,https://www.youtube.com/watch?v=bsOfvPYpbh0
