Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10172,Special Education,The perfect transition.,8hrs 19min,A BOY IS A GUN*,https://www.youtube.com/watch?v=McYy8pEniUc
10173,Special Education,The perfect transition.,,Alright,https://www.youtube.com/watch?v=67vr-3kpX3Q
10174,Special Education,The perfect transition.,,RUNNING OUT OF TIME,https://www.youtube.com/watch?v=Uyf_lImpdRw
10175,Special Education,The perfect transition.,,Flashing Lights,https://www.youtube.com/watch?v=cxKs2b5lRsA
10176,Special Education,The perfect transition.,,Bring Me Down,https://www.youtube.com/watch?v=CZ_-O31R3p4
10177,Special Education,The perfect transition.,,You Don't Know My Name,https://www.youtube.com/watch?v=wyaA5Hooh1o
10178,Special Education,The perfect transition.,,Overnight Celebrity,https://www.youtube.com/watch?v=z3JmMF6dGGk
10179,Special Education,The perfect transition.,,Super Rich Kids,https://www.youtube.com/watch?v=0XCQNpjWmRE
10180,Special Education,The perfect transition.,,Green Eyes,https://www.youtube.com/watch?v=RPFyeCmHXjY
10181,Special Education,The perfect transition.,,Only One,https://www.youtube.com/watch?v=ZmYdIykD5g8
10182,Special Education,The perfect transition.,,FEAR.,https://www.youtube.com/watch?v=jdbQYDkNjfk
10183,Special Education,The perfect transition.,,Survival Tactics,https://www.youtube.com/watch?v=Re-rt1a5bKg
10184,Special Education,The perfect transition.,,Drive Slow,https://www.youtube.com/watch?v=Q1ViJEYNki4
10185,Special Education,The perfect transition.,,Sailin’ Da South,https://www.youtube.com/watch?v=7wznv-GcdyI
10186,Special Education,The perfect transition.,,90210,https://www.youtube.com/watch?v=tBfWb5IrbOI
10187,Special Education,The perfect transition.,,The Story of O.J.,https://www.youtube.com/watch?v=JRW5TbVApFw
10188,Special Education,The perfect transition.,,See You Again,https://www.youtube.com/watch?v=EZE62LpaqHg
10189,Special Education,The perfect transition.,,Pink + White,https://www.youtube.com/watch?v=9cHbvRUALrc
10190,Special Education,The perfect transition.,,Hello,https://www.youtube.com/watch?v=6jBhlyyB30o
10191,Special Education,The perfect transition.,,Doves In The Wind,https://www.youtube.com/watch?v=VpymZzZ8Opg
10192,Special Education,The perfect transition.,,Come Back to Earth,https://www.youtube.com/watch?v=VzAjXdBJsEc
10193,Special Education,The perfect transition.,,Seigfried,https://www.youtube.com/watch?v=p_oL2OIGo04
10194,Special Education,The perfect transition.,,The New Workout Plan,https://www.youtube.com/watch?v=IzNunT2AOO4
10195,Special Education,The perfect transition.,,Work Out,https://www.youtube.com/watch?v=UWlibNTrg80
10196,Special Education,The perfect transition.,,Something to Rap About,https://www.youtube.com/watch?v=UHzY8g13tQc
10197,Special Education,The perfect transition.,,Love Is Only a Feeling,https://www.youtube.com/watch?v=mHM8Qa6zsVg
10198,Special Education,The perfect transition.,,Hurt Feelings,https://www.youtube.com/watch?v=BMuD8uIWup4
10199,Special Education,The perfect transition.,,Awkward,https://www.youtube.com/watch?v=aG3mbIZY92E
10200,Special Education,The perfect transition.,,Tidal Wave,https://www.youtube.com/watch?v=Wb6VsjwjinA
10201,Special Education,The perfect transition.,,Laila’s Wisdom,https://www.youtube.com/watch?v=btYlWphnfbE
10202,Special Education,The perfect transition.,,After The Storm,https://www.youtube.com/watch?v=vgOTxZtlXys
10203,Special Education,The perfect transition.,,Colossus,https://www.youtube.com/watch?v=Nn0tZl3Plcs
10204,Special Education,The perfect transition.,,Woods,https://www.youtube.com/watch?v=Azguk7bkovY
10205,Special Education,The perfect transition.,,Where This Flower Blooms,https://www.youtube.com/watch?v=1gAHhLb6tjA
10206,Special Education,The perfect transition.,,Purple,https://www.youtube.com/watch?v=LPmUHNaqKP0
10207,Special Education,The perfect transition.,,U-Love,https://www.youtube.com/watch?v=_bQSG6WbP6A
10208,Special Education,The perfect transition.,,Montara,https://www.youtube.com/watch?v=P3zV0Ug4GCQ
10209,Special Education,The perfect transition.,,Mind Playing Tricks on Me,https://www.youtube.com/watch?v=6qZAQZpcwxI
10210,Special Education,The perfect transition.,,Window Seat,https://www.youtube.com/watch?v=IJ_5GJeluaY
10211,Special Education,The perfect transition.,,John Redcorn,https://www.youtube.com/watch?v=cPSQoVCWv5Q
