Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
9878,Special Education,intellectual disability,12hrs 21min,A Credo For Support (People 1st version),https://www.youtube.com/watch?v=wunHDfZFxXw
9879,Special Education,intellectual disability,,3-year-old boy battles Angelman Syndrome,https://www.youtube.com/watch?v=m2vEZHZgnlo
9880,Special Education,intellectual disability,,"Meet the People, Mencap Clip",https://www.youtube.com/watch?v=wBwtRINE9oQ
9881,Special Education,intellectual disability,,Welcome to The Dreamhouse,https://www.youtube.com/watch?v=UNd_HRtCOnU
9882,Special Education,intellectual disability,,Good Things,https://www.youtube.com/watch?v=PljrI54od6A
9883,Special Education,intellectual disability,,Christchurch Earthquake Reflection Group - Shaken but not Stirred,https://www.youtube.com/watch?v=PzJdpmJw0fg
9884,Special Education,intellectual disability,,"Okay, Let's Talk About Me - Trailer of the 26-minute documentary (Down syndrome)",https://www.youtube.com/watch?v=ss_ounFF-yk
9885,Special Education,intellectual disability,,The Teaching of Jon,https://www.youtube.com/watch?v=cfhDJfzQByQ
9886,Special Education,intellectual disability,,Fragile X journey with the Justus family,https://www.youtube.com/watch?v=mWjfYOmxjO0
9887,Special Education,intellectual disability,,A Story about Angelman Syndrome,https://www.youtube.com/watch?v=zPjg8uGVGbg
9888,Special Education,intellectual disability,,An Actual Conversation With Maggie | Rett Syndrome,https://www.youtube.com/watch?v=R_1U4JmaYB8
9889,Special Education,intellectual disability,,Working to reverse Rett Syndrome,https://www.youtube.com/watch?v=WHzqNdEI8gc
9890,Special Education,intellectual disability,,Challenging Behaviour and Learning Disabilities: Independent living,https://www.youtube.com/watch?v=9YrXmG6qO9E
9891,Special Education,intellectual disability,,In My Language,https://www.youtube.com/watch?v=JnylM1hI2jc
9892,Special Education,intellectual disability,,Autism and Intensive Interaction - A new training DVD from Phoebe Caldwell (clip),https://www.youtube.com/watch?v=OhnaPJw_Wh8
