Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10674,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,66hrs 0min,Introduction to the normal distribution | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=hgtMWR3TFnY
10675,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Normal distribution excel exercise | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=yTGEMoaWDCQ
10676,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,ck12.org normal distribution problems: Qualitative sense of normal distributions | Khan Academy,https://www.youtube.com/watch?v=79duxPXpyKQ
10677,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,ck12.org normal distribution problems: Empirical rule | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=OhRr26AfFBU
10678,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,ck12.org normal distribution problems: z-score | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=Wp2nVIzBsE8
10679,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,k12.org exercise: Standard normal distribution and the empirical | Khan Academy,https://www.youtube.com/watch?v=2fzYE-Emar0
10680,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,ck12.org: More empirical rule and z-score practice | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=itQEwESWDKg
10681,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Central limit theorem | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=JNm3M9cqWyc
10682,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Sampling distribution of the sample mean | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=FXZ2O1Lv-KE
10683,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Sampling distribution of the sample mean 2 | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=NYd6wzYkQIM
10684,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Standard error of the mean | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=J1twbrHel3o
10685,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Sampling distribution example problem | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=0ZstEh_8bYc
10686,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Confidence interval example | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=SeQeYVJZ2gE
10687,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Small sample size confidence intervals | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=K4KDLWENXm0
10688,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Mean and variance of Bernoulli distribution example | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=O8vB1eInP_8
10689,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Bernoulli distribution mean and variance formulas | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=ry81_iSHt6E
10690,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Margin of error 1 | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=OwPSuHXmiPw
10691,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Margin of error 2 | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=YclQE2XtaLw
10692,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Hypothesis testing and p-values | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=-FtlH4svqx4
10693,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,One-tailed and two-tailed tests | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=mvye6X_0upA
10694,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Type 1 errors | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=EowIec7Y8HM
10695,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Z-statistics vs. T-statistics | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=5ABpqVSx33I
10696,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Small sample hypothesis test | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=D2sMsmL0ScQ
10697,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,T-statistic confidence interval | Inferential statistics | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=hV4pdjHCKuA
10698,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Large sample proportion hypothesis testing | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=1JT9oODsClE
10699,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Variance of differences of random variables | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=rLdoKZ7w0xI
10700,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Difference of sample means distribution | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=TcIDXqmt74A
10701,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Confidence interval of difference of means | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=hxZ6uooEJOk
10702,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Clarification of confidence interval of difference of means | Khan Academy,https://www.youtube.com/watch?v=yQsCMnz9wO8
10703,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Hypothesis test for difference of means | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=N984XGLjQfs
10704,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Comparing population proportions 1 | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=a1Ye5RcWOqg
10705,Statistics,Inferential statistics | Probability and Statistics | Khan Academy,,Comparing population proportions 2 | Probability and Statistics | Khan Academy,https://www.youtube.com/watch?v=MNbat1lrJW4
