Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5112,Supply Chain Management,Operations Management,80hrs 19min,Lecture 01 Operations Management: Basics,https://www.youtube.com/watch?v=_VJkKZFuRvE
5113,Supply Chain Management,Operations Management,,Lecture 02 Operations Management: Objectives,https://www.youtube.com/watch?v=6fssYwsXVfI
5114,Supply Chain Management,Operations Management,,Lecture 03 Operations Management: Functions and Scope,https://www.youtube.com/watch?v=EmGz8POpzN8
5115,Supply Chain Management,Operations Management,,Lecture 04 Types of Production Systems,https://www.youtube.com/watch?v=BoUDrZPrt8c
5116,Supply Chain Management,Operations Management,,Lecture 05 Operations Strategy,https://www.youtube.com/watch?v=VozCAXEAdoo
5117,Supply Chain Management,Operations Management,,Lecture 06 Product Life-Cycle,https://www.youtube.com/watch?v=m-OMvTWf9mE
5118,Supply Chain Management,Operations Management,,Lecture 07 Value Engineering Concepts,https://www.youtube.com/watch?v=mJoaZ4GewyI
5119,Supply Chain Management,Operations Management,,Lecture 08 Design for X (DFX),https://www.youtube.com/watch?v=k0X3ybfqPbQ
5120,Supply Chain Management,Operations Management,,Lecture 09 Ergonomics in Product Design,https://www.youtube.com/watch?v=vSwH8-MFkKc
5121,Supply Chain Management,Operations Management,,"Lecture 10 Rapid Prototyping: Concept, Advantages",https://www.youtube.com/watch?v=6XSsf47CuYs
5122,Supply Chain Management,Operations Management,,lecture 11 Sales Forecasting,https://www.youtube.com/watch?v=bH94eTQLs5g
5123,Supply Chain Management,Operations Management,,Lecture 12 Forecasting System,https://www.youtube.com/watch?v=30Z7f7dpGYU
5124,Supply Chain Management,Operations Management,,Lecture 13 Qualitative Methods of Forecasting,https://www.youtube.com/watch?v=7Hphv79OZJY
5125,Supply Chain Management,Operations Management,,Lecture 14 Quantitative Methods-I,https://www.youtube.com/watch?v=wKXJ5Cj5QT4
5126,Supply Chain Management,Operations Management,,Lecture 15 Quantitative Methods-II,https://www.youtube.com/watch?v=LU-5iDyyqVI
