Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4206,Travel and Tourism,Sustainable tourism,0hrs 472min,Why Tourism Planning Is Important,https://www.youtube.com/watch?v=nLuG4InajNo
4207,Travel and Tourism,Sustainable tourism,,Economic Impacts Of Tourism That We ALL Need To Know!,https://www.youtube.com/watch?v=nyi8UbOGHr8
4208,Travel and Tourism,Sustainable tourism,,The Social Impacts Of Tourism That We All NEED To Know About!,https://www.youtube.com/watch?v=k34sY-npVg0
4209,Travel and Tourism,Sustainable tourism,,The Environmental Impacts Of Tourism That We All NEED To Know About!,https://www.youtube.com/watch?v=izSDxMHUo9Q
4210,Travel and Tourism,Sustainable tourism,,The Multiplier Effect In Tourism | What Is It? How Does It Work? Why Does It Matter?,https://www.youtube.com/watch?v=u-Ri5-NhtEc
4211,Travel and Tourism,Sustainable tourism,,Butler's Tourism Area Lifecycle Model Made SIMPLE,https://www.youtube.com/watch?v=ce_U7xGkVTk
4212,Travel and Tourism,Sustainable tourism,,What Is Ecotourism & Why Should We Be Ecotourists?,https://www.youtube.com/watch?v=K48IsUdUKUs
4213,Travel and Tourism,Sustainable tourism,,"Ethical Tourism Is The Future, Here's Why.",https://www.youtube.com/watch?v=hM955Rr8oZs
4214,Travel and Tourism,Sustainable tourism,,What Is Mass Tourism And Why Is It So Bad?,https://www.youtube.com/watch?v=v7rBC6aiHzM
4215,Travel and Tourism,Sustainable tourism,,Rural Tourism | Is Rural Tourism The New Sustainable Tourism?,https://www.youtube.com/watch?v=1c2LEvTMIys
4216,Travel and Tourism,Sustainable tourism,,What is sustainable tourism? Why sustainable tourism management is so important,https://www.youtube.com/watch?v=kgAHZHkMTQU
4217,Travel and Tourism,Sustainable tourism,,Wildlife Tourism | Should Animals Be Used For Entertainment?,https://www.youtube.com/watch?v=ocwd-JF9-PY
4218,Travel and Tourism,Sustainable tourism,,Slum Tourism | The Most Controversial Type Of Tourism?,https://www.youtube.com/watch?v=4oPOc2e4ffU
4219,Travel and Tourism,Sustainable tourism,,Enclave Tourism- The Problems With All Inclusive Holiday Resorts,https://www.youtube.com/watch?v=pJCAxehMYW0
4220,Travel and Tourism,Sustainable tourism,,Overtourism- How Mass Tourism Is Impacting The World,https://www.youtube.com/watch?v=sBhqXdCk5qk
4221,Travel and Tourism,Sustainable tourism,,Accessible Tourism | Why 'Tourism For All' Is The Only Way Forward,https://www.youtube.com/watch?v=uu4V749fuBs
4222,Travel and Tourism,Sustainable tourism,,Smart Tourism | The Future Of The Tourism Industry Is SMART,https://www.youtube.com/watch?v=62QXYnQVJQA
4223,Travel and Tourism,Sustainable tourism,,What Is Responsible Tourism?,https://www.youtube.com/watch?v=Kdi8uccHTXY
4224,Travel and Tourism,Sustainable tourism,,What Is Volunteer Tourism and Why Does It Exist? | The Pros And Cons Of Being A Voluntourist,https://www.youtube.com/watch?v=8urJrkUbpVk
4225,Travel and Tourism,Sustainable tourism,,What Is begpacking And Why Is It So Bad?,https://www.youtube.com/watch?v=JnNApwdwFh8
4226,Travel and Tourism,Sustainable tourism,,What Is Economic Leakage In Tourism And Why Is It So Bad For The Tourism Industry?,https://www.youtube.com/watch?v=O9w8aS2ZJf4
4227,Travel and Tourism,Sustainable tourism,,"What is agritourism? | Farm tourism, ecotourism, sustainable tourism and more...",https://www.youtube.com/watch?v=_NM4rLeNj3A
4228,Travel and Tourism,Sustainable tourism,,What Is Pro-Poor Tourism And How Does It Work? | Sustainable Tourism Examples,https://www.youtube.com/watch?v=O6jUktv-ENw
4229,Travel and Tourism,Sustainable tourism,,The Growth Of Slow Tourism,https://www.youtube.com/watch?v=e2BsZFUEPXs
4230,Travel and Tourism,Sustainable tourism,,"How WWOOFING Works, Pros And Cons Of WWOOF, Best WWOOFING Destinations",https://www.youtube.com/watch?v=QKsW4klAY0s
