Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
6808,Urban Planning,Environment Management,23hrs 5min,Introduction to Environmental Management - Environment Management,https://www.youtube.com/watch?v=oHbTgSqGo5c
6809,Urban Planning,Environment Management,,Environmental Management Schemes - Introduction of Environmental Management,https://www.youtube.com/watch?v=l6JNAOLzKEs
6810,Urban Planning,Environment Management,,Scope of Environmental Management,https://www.youtube.com/watch?v=MXXkMe8tT6M
6811,Urban Planning,Environment Management,,Standards for Environment Management System,https://www.youtube.com/watch?v=A6uhwmgTGTo
6812,Urban Planning,Environment Management,,Sustainable Development,https://www.youtube.com/watch?v=6JlYfafaBO8
6813,Urban Planning,Environment Management,,Global Warming - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=7e0OVoz5qrI
6814,Urban Planning,Environment Management,,Introduction to Acid Rain - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=-pi0I0zGubM
6815,Urban Planning,Environment Management,,Ozone Layer Depletion,https://www.youtube.com/watch?v=Pk_FmNGgQbw
6816,Urban Planning,Environment Management,,Hazardous Waste,https://www.youtube.com/watch?v=lrRLDwUyjFk
6817,Urban Planning,Environment Management,,Loss of Biodiversity,https://www.youtube.com/watch?v=NVW2haJabG4
6818,Urban Planning,Environment Management,,Man made Disasters,https://www.youtube.com/watch?v=Q4JmtiJNJTY
6819,Urban Planning,Environment Management,,Nuclear Hazards,https://www.youtube.com/watch?v=NNVngQOoFwg
6820,Urban Planning,Environment Management,,Biomedical Hazards,https://www.youtube.com/watch?v=VvgzzPxJphs
6821,Urban Planning,Environment Management,,Introduction to Ecosystems - Concepts of Ecology - Environment Management,https://www.youtube.com/watch?v=QsnomXj-iQs
6822,Urban Planning,Environment Management,,Concept of Ecology,https://www.youtube.com/watch?v=bgad_f-hvYI
6823,Urban Planning,Environment Management,,Food Chain and Food Web,https://www.youtube.com/watch?v=o0Q5RIg8xuA
6824,Urban Planning,Environment Management,,Ecological Pyramid,https://www.youtube.com/watch?v=chUyfQOocd4
6825,Urban Planning,Environment Management,,Ecological Interaction Between Organisms,https://www.youtube.com/watch?v=FgZR9VHyT_M
6826,Urban Planning,Environment Management,,Total Quality Environmental Management,https://www.youtube.com/watch?v=mS8mkR-kUM0
6827,Urban Planning,Environment Management,,Corporate Environmental Responsibility CER,https://www.youtube.com/watch?v=ks_LVefHN7o
6828,Urban Planning,Environment Management,,ISO 14000 Introduction,https://www.youtube.com/watch?v=If9LpRyrAmA
6829,Urban Planning,Environment Management,,ISO 14000 Family,https://www.youtube.com/watch?v=fwFmRMEo1nQ
6830,Urban Planning,Environment Management,,ISO 14000 Certification,https://www.youtube.com/watch?v=EBzLLUoorEc
6831,Urban Planning,Environment Management,,The Environment Protection Act - General Overview of Major Legislation - Environment Management,https://www.youtube.com/watch?v=PfhEfNWQblM
6832,Urban Planning,Environment Management,,Air Act   Part I,https://www.youtube.com/watch?v=ejKM7aYDWKc
6833,Urban Planning,Environment Management,,The Air Act   Part II,https://www.youtube.com/watch?v=So5qHC2F3G8
