Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
7103,Urban Planning,Fall 2019: Urban Policy Analysis,184hrs 1min,Urban Policy Analysis (10/2/19),https://www.youtube.com/watch?v=IQN6L2nGSYY
7104,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (10/7/19),https://www.youtube.com/watch?v=De2LahbX2Sw
7105,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (10/9/19),https://www.youtube.com/watch?v=5kwMdZltSG0
7106,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (10/14/19),https://www.youtube.com/watch?v=Lkeph3Iq_r0
7107,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (10/16/19),https://www.youtube.com/watch?v=8KX8iKEQGoQ
7108,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (10-21-19),https://www.youtube.com/watch?v=4IJMYGXeYhI
7109,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (10/23/19),https://www.youtube.com/watch?v=xDVharxQVXc
7110,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (10-30-19),https://www.youtube.com/watch?v=yLAmQjLL8hE
7111,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (11/4/19),https://www.youtube.com/watch?v=PSlOXvw7O6M
7112,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (11/6/19),https://www.youtube.com/watch?v=VebIbCSvTEE
7113,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (11/13/19),https://www.youtube.com/watch?v=4V756PrF6tg
7114,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (11-20-19),https://www.youtube.com/watch?v=X4C96V7lIP8
7115,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (11-25-19),https://www.youtube.com/watch?v=vGIz53EJgO8
7116,Urban Planning,Fall 2019: Urban Policy Analysis,,Urban Policy Analysis (12-02-19),https://www.youtube.com/watch?v=s07S6MxXeeM
