Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10695,Marketing,Sales Management,25hrs 21min,Introduction to Sales Management | Sales Function | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=0vNvFRfgT78
10696,Marketing,Sales Management,,Sales Organization | Relation between Sales and other Departments | Sales Management,https://www.youtube.com/watch?v=5Odi6hONLAY
10697,Marketing,Sales Management,,Line Structure | Line and Staff Structure | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=yyzHRR547ug
10698,Marketing,Sales Management,,Functional Organisational Structure | Committee Structure | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=rFdC72-YIPQ
10699,Marketing,Sales Management,,Salesmanship | Meaning and Intro | Features and Importance of Salesmanship | Study at Home with me,https://www.youtube.com/watch?v=f10jqHaY0JI
10700,Marketing,Sales Management,,Introduction to Personal Selling | Nature and Objectives of Personal Selling | Study at Home with me,https://www.youtube.com/watch?v=qJrDFsGsQKA
10701,Marketing,Sales Management,,Personal Selling Process | Advantages and Disadvantages of Personal Selling | Study at Home with me,https://www.youtube.com/watch?v=QxAjbiIpUS4
10702,Marketing,Sales Management,,Types of Sales Executives | Qualities of Sales Executives | Sales Display Importance,https://www.youtube.com/watch?v=cz-dncFrpCQ
10703,Marketing,Sales Management,,Theories of Personal Selling | AIDAS | Buying Problem | Situation | Behavioural,https://www.youtube.com/watch?v=wXGVlTqoa94
10704,Marketing,Sales Management,,Distribution Network Management | Middlemen | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=DkLOaIGlUEQ
10705,Marketing,Sales Management,,Distribution Channel Introduction | Types of Channel | Selection | Sales Management,https://www.youtube.com/watch?v=xQdhEkaoXoA
10706,Marketing,Sales Management,,Physical Distribution | Components of Physical Distribution | Sales Management,https://www.youtube.com/watch?v=ke5MHRRVR_Q
10707,Marketing,Sales Management,,Introduction to Recruitment and Selection | Selection Process | Sales Management,https://www.youtube.com/watch?v=GrEcSpm4RJM
10708,Marketing,Sales Management,,Recruitment vs Selection | Types of Interviews | Sales Management | Study at Home with me,https://www.youtube.com/watch?v=bIqU1nsGpS8
